"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00061818,0.15795,0.11976,0.38852,0,0,0,1,0,10.35,0,0.817
0.001109,0.14277,0.12054,0.35069,2.1907,0.003673,0.00043343,1,0.0272,10.35,0.0272,0.817
0.0016069,0.12721,0.1213,0.31143,4.3807,0.0073787,0.00086822,1,0.0544,10.35,0.0544,0.817
0.0021047,0.11165,0.12205,0.27216,6.5707,0.011084,0.001303,1,0.0816,10.35,0.0816,0.817
0.0026026,0.096093,0.12281,0.2329,8.7607,0.01479,0.0017378,1,0.1088,10.35,0.1088,0.817
0.0028665,0.080441,0.12336,0.19365,10.444,0.017359,0.0020847,1,0.136,10.35,0.136,0.817
0.0023763,0.064272,0.12323,0.15367,10.504,0.016289,0.0021506,1,0.1632,10.35,0.1632,0.817
0.0018788,0.047808,0.12308,0.1126,10.566,0.015222,0.0022168,1,0.1904,10.35,0.1904,0.817
0.0013813,0.031344,0.12293,0.071531,10.628,0.014154,0.0022831,1,0.2176,10.35,0.2176,0.817
0.00088379,0.01488,0.12278,0.030464,10.69,0.013086,0.0023493,1,0.2448,10.35,0.2448,0.817
0.00069418,0.0058527,0.12238,0.0081371,10.714,0.012519,0.0023904,1,0.272,10.35,0.272,0.817
0.00084111,0.0049714,0.12168,0.0063457,10.695,0.0125,0.002404,1,0.2992,10.35,0.2992,0.817
0.00098695,0.0040725,0.12099,0.004514,10.676,0.01248,0.0024177,1,0.3264,10.35,0.3264,0.817
0.0011328,0.0031737,0.12029,0.0026823,10.657,0.01246,0.0024313,1,0.3536,10.35,0.3536,0.817
0.0012786,0.0022748,0.11959,0.00085059,10.637,0.01244,0.002445,1,0.3808,10.35,0.3808,0.817
0.0013166,0.0020638,0.11931,0.00035592,10.633,0.012898,0.0024758,1,0.408,10.35,0.408,0.817
0.0013145,0.0021257,0.11918,0.00039311,10.634,0.013539,0.0025133,1,0.4352,10.35,0.4352,0.817
0.0013128,0.0021874,0.11906,0.00042998,10.635,0.014179,0.0025507,1,0.4624,10.35,0.4624,0.817
0.0013111,0.0022491,0.11893,0.00046685,10.636,0.014819,0.0025881,1,0.4896,10.35,0.4896,0.817
0.0013094,0.0023108,0.11881,0.00050373,10.637,0.015459,0.0026255,1,0.5168,10.35,0.5168,0.817
0.0011596,0.0028906,0.1183,0.0016523,10.64,0.014655,0.002653,1,0.544,10.35,0.544,0.817
0.001004,0.003504,0.11777,0.002874,10.644,0.013788,0.0026807,1,0.5712,10.35,0.5712,0.817
0.00084833,0.0041174,0.11724,0.0040958,10.647,0.012921,0.0027083,1,0.5984,10.35,0.5984,0.817
0.00069271,0.0047309,0.11671,0.0053176,10.65,0.012054,0.0027359,1,0.6256,10.35,0.6256,0.817
0.00059992,0.0070627,0.11624,0.012694,10.63,0.011777,0.0027624,1,0.6528,10.35,0.6528,0.817
0.00077687,0.016782,0.11602,0.046453,10.509,0.014007,0.0027838,1,0.68,10.35,0.68,0.817
0.00095824,0.026641,0.1158,0.08058,10.388,0.016231,0.0028049,1,0.7072,10.35,0.7072,0.817
0.0011396,0.036499,0.11558,0.11471,10.267,0.018455,0.0028259,1,0.7344,10.35,0.7344,0.817
0.001321,0.046357,0.11536,0.14884,10.146,0.020679,0.0028469,1,0.7616,10.35,0.7616,0.817
0.0015587,0.056619,0.11482,0.18152,9.9101,0.022363,0.0027433,1,0.7888,10.35,0.7888,0.817
0.0018776,0.067615,0.11384,0.21281,9.5219,0.023344,0.0024722,1,0.816,10.35,0.816,0.817
0.0022002,0.078733,0.11285,0.24444,9.1346,0.024336,0.0022004,1,0.8432,10.35,0.8432,0.817
0.0025229,0.089851,0.11186,0.27608,8.7472,0.025328,0.0019286,1,0.8704,10.35,0.8704,0.817
0.0028455,0.10097,0.11088,0.30771,8.3598,0.026319,0.0016568,1,0.8976,10.35,0.8976,0.817
0.0028583,0.099158,0.11029,0.2973,8.0269,0.024324,0.0012032,1,0.9248,10.35,0.9248,0.817
0.0027096,0.09071,0.1099,0.26542,7.7213,0.020824,0.00065857,1,0.952,10.35,0.952,0.817
0.0025598,0.082232,0.1095,0.23347,7.4157,0.017324,0.00011391,1,0.9792,10.35,0.9792,0.817
0.0024099,0.073754,0.10911,0.20152,7.1102,0.013823,-0.00043074,1,1.0064,10.35,1.0064,0.817
0.0022601,0.065276,0.10871,0.16957,6.8046,0.010322,-0.0009754,1,1.0336,10.35,1.0336,0.817
0.0021341,0.054965,0.10866,0.13795,6.7403,0.0093502,-0.0014975,1,1.0608,10.35,1.0608,0.817
0.0019981,0.044161,0.10863,0.10555,6.6998,0.0086097,-0.0020191,1,1.088,10.35,1.088,0.817
0.0018622,0.033356,0.10861,0.073154,6.6593,0.0078692,-0.0025407,1,1.1152,10.35,1.1152,0.817
0.0017263,0.022552,0.10858,0.040757,6.6187,0.0071287,-0.0030624,1,1.1424,10.35,1.1424,0.817
0.0016363,0.013216,0.10855,0.012718,6.584,0.0063378,-0.0035568,1,1.1696,10.35,1.1696,0.817
0.0018214,0.012685,0.10844,0.010825,6.5838,0.0052449,-0.0038881,1,1.1968,10.35,1.1968,0.817
0.0020066,0.012155,0.10834,0.0089322,6.5835,0.0041519,-0.0042194,1,1.224,10.35,1.224,0.817
0.0021917,0.011624,0.10823,0.0070392,6.5833,0.003059,-0.0045508,1,1.2512,10.35,1.2512,0.817
0.0023771,0.011099,0.10813,0.0051603,6.5831,0.0019655,-0.0048817,1,1.2784,10.35,1.2784,0.817
0.0024928,0.010786,0.10805,0.0040339,6.583,0.001088,-0.0050863,1,1.3056,10.35,1.3056,0.817
0.0024928,0.010786,0.10801,0.0040339,6.583,0.00055758,-0.0050887,1,1.3328,10.35,1.3328,0.817
0.0024928,0.010786,0.10797,0.0040339,6.583,2.0994e-05,-0.0050914,1,1.36,10.35,1.36,0.817
0.0024928,0.010786,0.10793,0.0040339,6.583,-0.00051559,-0.0050941,1,1.3872,10.35,1.3872,0.817
0.0024928,0.010786,0.10789,0.0040339,6.583,-0.0010522,-0.0050969,1,1.4144,10.35,1.4144,0.817
0.0023771,0.011099,0.10789,0.0051603,6.5831,-0.001934,-0.004896,1,1.4416,10.35,1.4416,0.817
0.0021917,0.011624,0.10793,0.0070392,6.5834,-0.0030271,-0.0045694,1,1.4688,10.35,1.4688,0.817
