---code V3.c---
Turbine, Uinf(upstream), Uinf(U_dCenter), Cp(U_dCenter), Ct(U_dCenter), Power(U_dCenter), Thrust(U_dCenter) , Average Ud, Center  Ud , Uinf(disc cells), Power(disc cells), Thrust(disc cells)
Dir: 0
Finalising parallel run
disk0,7.54179,7.52583,0.000450499,0.759976,748.235,167722,5.61462,5.65868,7.69651,806.488,175866
disk1,7.99529,7.9399,0.000442629,0.735546,863.308,180684,5.96095,6.04331,8.05083,904.909,186107
disk2,7.91459,7.95656,0.000442214,0.734563,867.937,181201,5.96758,6.05878,8.05494,905.271,186036
disk3,7.91248,7.97979,0.000441623,0.733192,874.394,181921,5.96164,6.08037,8.04976,902.355,185452
Dir: 2
Finalising parallel run
disk0,7.75619,7.73897,0.00044709,0.747401,807.468,174422,5.7816,5.85667,7.87087,854.616,180783
disk1,7.96552,7.89995,0.000443599,0.737903,852.207,179444,5.92683,6.00621,8.01829,896.058,185205
disk2,7.90042,7.95348,0.000442291,0.734745,867.083,181106,5.95429,6.05593,8.03957,900.735,185406
disk3,7.90696,8.10243,0.000437778,0.719094,907.362,183949,5.98145,6.22112,8.05882,899.246,182417
Dir: 4
Finalising parallel run
disk0,7.93594,7.95558,0.000442238,0.734621,867.668,181171,5.90781,6.05788,7.98468,883.783,182957
disk1,7.96745,7.92686,0.00044295,0.736315,859.685,180280,5.92503,6.0312,8.00708,892.341,184385
disk2,7.90429,7.94689,0.000442456,0.735134,865.25,180901,5.94461,6.0498,8.02639,897.606,184964
disk3,7.90699,8.07309,0.000438747,0.722791,899.527,183558,5.96637,6.18617,8.04824,897.831,182883
Dir: 6
Finalising parallel run
disk0,7.97477,7.95194,0.00044233,0.734836,866.653,181058,5.97973,6.05449,8.05756,907.228,186285
disk1,7.96848,7.90607,0.000443453,0.737542,853.907,179634,5.9348,6.01189,8.01837,897.003,185203
disk2,7.9081,7.9122,0.000443306,0.73718,855.612,179825,5.94497,6.01759,8.02895,900.027,185585
disk3,7.9065,8.03435,0.000440005,0.727672,889.184,183028,5.95546,6.14005,8.04185,897.115,183744
Dir: 8
Finalising parallel run
disk0,8.00161,7.93255,0.00044281,0.735979,861.267,180456,5.98985,6.03649,8.07053,912.28,187152
disk1,7.96881,7.92453,0.000443007,0.736453,859.037,180207,5.95475,6.02904,8.03788,902.248,185802
disk2,7.91105,7.91358,0.000443272,0.737099,855.995,179868,5.95401,6.01887,8.03755,902.589,185944
disk3,7.90724,7.93869,0.000442659,0.735617,862.973,180647,5.94184,6.04219,8.02501,897.254,185001
Dir: 10
Finalising parallel run
disk0,8.00729,7.90602,0.000443454,0.737545,853.893,179633,5.97549,6.01184,8.0586,909.821,187015
disk1,7.96472,7.94438,0.000442518,0.735282,864.553,180823,5.95549,6.04747,8.03932,901.432,185552
disk2,7.9154,7.93436,0.000442766,0.735873,861.769,180513,5.95845,6.03817,8.04261,903.088,185856
disk3,7.89898,7.87926,0.000444086,0.739124,846.457,178801,5.92245,5.98699,8.00948,895,185168
Dir: 12
Finalising parallel run
disk0,8.01202,7.94619,0.000442473,0.735175,865.056,180879,5.95465,6.04915,8.03877,901.017,185489
disk1,7.95426,7.95626,0.000442221,0.73458,867.857,181192,5.91358,6.05851,7.99617,886.662,183408
disk2,7.91929,8.02276,0.000440377,0.729132,886.088,182867,5.96202,6.12624,8.04279,898.358,184167
disk3,7.90138,7.91303,0.000443286,0.737131,855.843,179851,5.92654,6.01836,8.01328,894.812,184855
Dir: 14
Finalising parallel run
disk0,8.00522,7.87038,0.000444292,0.739648,843.988,178524,5.86613,5.97874,7.95171,876.125,182630
disk1,7.82217,7.77993,0.000446269,0.744984,818.851,175703,5.80333,5.89471,7.8871,859.511,181025
disk2,7.92422,7.94799,0.000442428,0.735068,865.558,180935,5.95607,6.05083,8.04048,901.589,185548
disk3,7.90169,7.94877,0.000442409,0.735023,865.773,180959,5.94846,6.05155,8.03365,899.409,185232
Dir: 16
Finalising parallel run
disk0,7.88008,7.80087,0.000445831,0.743748,824.672,176357,5.72739,5.91417,7.80516,834.01,177120
disk1,7.67214,7.50822,0.000450709,0.761015,743.341,167166,5.62863,5.64232,7.70773,811.715,176717
disk2,7.92703,8.01873,0.000440506,0.72964,885.013,182810,6.01261,6.12145,8.09058,914.328,186464
disk3,7.90461,7.99808,0.00044115,0.732113,879.477,182486,5.96861,6.09735,8.05187,902.65,185315
Dir: 18
Finalising parallel run
disk0,7.72254,7.41561,0.000451609,0.766479,717.604,164239,5.51774,5.5563,7.58849,777.255,172600
disk1,6.99881,7.27431,0.00045226,0.774816,678.334,159758,5.39858,5.42504,7.45697,739.68,168565
disk2,7.93271,8.02279,0.000440376,0.729128,886.098,182867,6.02724,6.12628,8.10587,918.981,187021
disk3,7.90547,7.98834,0.000441403,0.732688,876.769,182185,5.9458,6.08831,8.02921,895.866,184439
Dir: 20
Finalising parallel run
disk0,6.93553,7.07413,0.00045142,0.786626,622.704,153390,5.21665,5.2391,7.23503,679.347,161500
disk1,6.61159,6.86132,0.000452909,0.791,570.053,145102,5.15208,5.06781,7.17579,661.778,159486
disk2,7.93543,7.96778,0.00044193,0.733901,871.057,181549,5.98876,6.06921,8.07313,911.459,186753
disk3,7.90621,8.04061,0.000439804,0.726884,890.854,183115,5.98495,6.1475,8.06242,903.54,184481
Dir: 22
Finalising parallel run
disk0,6.10795,6.52437,0.000454811,0.791,492.184,131200,4.90162,4.81894,6.86429,586.212,146311
disk1,6.23792,6.68027,0.000454722,0.791,528.213,137545,4.98215,4.93409,6.97326,609.175,150562
disk2,7.93538,7.96908,0.000441897,0.733825,871.417,181589,6.00899,6.07041,8.08786,916.194,187402
disk3,7.90921,8.01831,0.000440519,0.729693,884.901,182805,5.95849,6.12095,8.0421,898.455,184281
Dir: 24
Finalising parallel run
disk0,5.21083,6.04843,0.000443277,0.791,382.193,112757,4.61372,4.4674,6.48756,482.874,130734
disk1,5.90776,6.70419,0.00045458,0.791,533.739,138532,4.89265,4.95175,6.85401,577.34,145379
disk2,7.93787,7.8984,0.000443636,0.737994,851.776,179396,5.97425,6.00476,8.05703,910.002,187080
disk3,7.90243,8.09495,0.000438026,0.720036,905.364,183850,6.01028,6.21221,8.08684,907.665,183823
Dir: 26
Finalising parallel run
disk0,5.05053,5.9401,0.000442024,0.791,361.001,108754,4.49296,4.38739,6.31598,441.772,123675
disk1,5.94094,6.64626,0.000454867,0.791,520.352,136148,4.88809,4.90896,6.85281,577.121,145305
disk2,7.94036,7.99396,0.000441257,0.732356,878.333,182359,6.03606,6.09353,8.11465,923.631,188243
disk3,7.90643,7.96796,0.000441925,0.73389,871.108,181554,5.95143,6.06938,8.03625,898.355,185002
Dir: 28
Finalising parallel run
disk0,4.98164,5.91976,0.000442394,0.791,357.604,108010,4.48015,4.37236,6.29463,437.151,122793
disk1,6.33699,6.84473,0.000453142,0.791,566.219,144401,5.04248,5.05555,7.03914,625.36,153501
disk2,7.94699,7.89058,0.000443821,0.738456,849.601,179153,6.00123,5.9975,8.08166,918.484,188325
disk3,7.90808,8.14022,0.00043651,0.714333,917.452,184439,6.02116,6.26611,8.09406,907.057,182700
Dir: 30
Finalising parallel run
disk0,5.26637,6.01331,0.00044151,0.791,374.077,111451,4.59531,4.44146,6.45474,472.066,129269
disk1,6.69006,7.17748,0.000452134,0.780529,651.424,156680,5.26236,5.3351,7.2983,694.327,162742
disk2,7.94309,7.90411,0.0004435,0.737657,853.363,179573,6.00848,6.01007,8.08948,920.315,188473
disk3,7.91246,8.12193,0.000437126,0.716637,912.567,184204,6.00729,6.24433,8.0864,905.788,182945
Dir: 32
Finalising parallel run
disk0,5.56887,6.38481,0.000453491,0.791,459.932,125647,4.82584,4.71586,6.75967,557.87,141857
disk1,7.43315,7.53209,0.000450421,0.759607,749.974,167919,5.52035,5.6645,7.58614,774.671,170962
disk2,7.95149,7.91814,0.000443162,0.73683,857.26,180009,6.01479,6.0231,8.09604,921.667,188554
disk3,7.9125,8.07409,0.000438714,0.722664,899.795,183571,5.99941,6.18737,8.08033,907.115,184213
Dir: 34
Finalising parallel run
disk0,6.4098,6.78162,0.00045391,0.791,551.635,141751,5.09449,5.00894,7.09409,643.392,156081
disk1,7.75555,7.69689,0.000447881,0.749884,795.773,173103,5.71679,5.81758,7.7999,834.506,178223
disk2,7.95537,8.01006,0.000440782,0.730733,882.697,182688,6.04647,6.11112,8.12491,926.012,188292
disk3,7.90465,7.92117,0.000443089,0.736651,858.104,180103,5.97779,6.02592,8.06112,909.768,186894
Dir: 36
Finalising parallel run
disk0,6.90395,7.23635,0.00045227,0.777055,667.786,158552,5.36127,5.38979,7.40201,726.781,166827
disk1,7.85857,7.96053,0.000442113,0.734329,869.043,181324,5.8902,6.06248,7.96949,877.911,182146
disk2,7.96332,7.93544,0.000442739,0.735809,862.068,180546,6.02647,6.03917,8.10812,924.594,188833
disk3,7.91057,7.91512,0.000443235,0.737008,856.423,179915,5.9691,6.0203,8.05625,908.259,186748
Dir: 38
Finalising parallel run
disk0,7.7905,7.59893,0.000449504,0.755663,768.55,170026,5.6254,5.72659,7.6987,807.316,175108
disk1,7.95241,7.94556,0.000442489,0.735212,864.881,180860,5.97629,6.04857,8.05906,907.153,186386
disk2,7.96015,7.88889,0.000443861,0.738556,849.132,179100,6.00197,5.99593,8.08875,920.536,188650
disk3,7.9111,7.86953,0.000444312,0.739698,843.751,178498,5.95577,5.97794,8.04526,906.757,186920
Dir: 40
Finalising parallel run
disk0,7.9081,7.78965,0.000446068,0.744411,821.553,176007,5.80329,5.90375,7.885,858.457,180791
disk1,7.96811,8.0785,0.000438569,0.722109,900.973,183631,6.04762,6.19262,8.12478,920.8,186028
disk2,7.96307,7.94531,0.000442495,0.735226,864.814,180852,6.04143,6.04834,8.12316,928.937,189364
disk3,7.91188,7.95524,0.000442247,0.734641,867.57,181160,5.98359,6.05756,8.06817,909.753,186664
Dir: 42
Finalising parallel run
disk0,7.97327,7.85773,0.000444582,0.740394,840.472,178130,5.93376,5.96698,8.01684,897.454,185756
disk1,7.97567,8.12931,0.000436878,0.715707,914.54,184299,6.08977,6.25313,8.16456,930.72,186185
disk2,7.97198,7.93722,0.000442695,0.735704,862.564,180601,6.04075,6.04082,8.12249,929.161,189458
disk3,7.91207,7.962,0.000442076,0.734242,869.451,181370,5.98943,6.06384,8.074,911.573,186846
Dir: 44
Finalising parallel run
disk0,8.03495,7.97832,0.000441661,0.733279,873.986,181875,6.01426,6.079,8.09702,917.876,187621
disk1,7.97377,8.06752,0.000438929,0.723492,898.041,183483,6.08696,6.17955,8.16277,934.22,188110
disk2,7.96981,8.02595,0.000440275,0.72873,886.941,182911,6.05812,6.13005,8.13611,928.412,188269
disk3,7.91178,8.01075,0.00044076,0.730646,882.881,182698,6.018,6.11194,8.10234,917.727,187188
Dir: 46
Finalising parallel run
disk0,8.03699,8.01794,0.000440531,0.72974,884.801,182799,6.06085,6.1205,8.14026,930.03,188699
disk1,7.97176,8.06773,0.000438923,0.723466,898.096,183486,6.08642,6.17979,8.16257,934.166,188096
disk2,7.97278,8.03028,0.000440136,0.728184,888.097,182972,6.06063,6.1352,8.13838,928.922,188235
disk3,7.91169,8.00685,0.000440883,0.731137,881.84,182643,6.01358,6.1073,8.09857,916.761,187144
Dir: 48
Finalising parallel run
disk0,8.03606,7.9868,0.000441443,0.732779,876.342,182138,6.06926,6.08688,8.14546,933.994,189744
disk1,7.9695,8.09505,0.000438023,0.720023,905.392,183851,6.09393,6.21233,8.1685,934.334,187477
disk2,7.98149,7.95173,0.000442335,0.734848,866.595,181051,6.05397,6.0543,8.13437,932.406,189786
disk3,7.91208,7.96204,0.000442075,0.73424,869.461,181371,5.9895,6.06388,8.07406,911.592,186849
Dir: 50
Finalising parallel run
disk0,8.02924,8.00223,0.00044103,0.731719,880.607,182578,6.07903,6.1018,8.15538,936.73,189945
