"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00036385,0.049604,0.52569,0.06839,0,0,0,1,0,6.75,0,0.817
0.00064728,0.044686,0.52493,0.061399,2.2082,0.0021074,0.0005559,1,0.0272,6.75,0.0272,0.817
0.00093071,0.039767,0.52417,0.054408,4.4164,0.0042148,0.0011118,1,0.0544,6.75,0.0544,0.817
0.0012141,0.034848,0.52341,0.047416,6.6246,0.0063223,0.0016677,1,0.0816,6.75,0.0816,0.817
0.0014976,0.02993,0.52265,0.040425,8.8328,0.0084297,0.0022236,1,0.1088,6.75,0.1088,0.817
0.0017023,0.024912,0.52195,0.033232,10.52,0.0098946,0.0026523,1,0.136,6.75,0.136,0.817
0.0016483,0.019907,0.52115,0.026099,10.539,0.0091411,0.0027065,1,0.1632,6.75,0.1632,0.817
0.0015943,0.014901,0.52035,0.018965,10.558,0.0083875,0.0027607,1,0.1904,6.75,0.1904,0.817
0.0015403,0.0098964,0.51955,0.011832,10.577,0.0076339,0.0028149,1,0.2176,6.75,0.2176,0.817
0.0014863,0.0048913,0.51875,0.0046985,10.596,0.0068803,0.0028691,1,0.2448,6.75,0.2448,0.817
0.0015479,0.0021621,0.51778,0.00072376,10.605,0.0063135,0.0029025,1,0.272,6.75,0.272,0.817
0.0017464,0.0021104,0.51651,0.00058763,10.601,0.0059769,0.0029126,1,0.2992,6.75,0.2992,0.817
0.0019449,0.0020586,0.51523,0.00045151,10.598,0.0056403,0.0029227,1,0.3264,6.75,0.3264,0.817
0.0021434,0.0020069,0.51396,0.00031539,10.595,0.0053037,0.0029329,1,0.3536,6.75,0.3536,0.817
0.0023418,0.0019549,0.51269,0.00017901,10.592,0.0049677,0.002943,1,0.3808,6.75,0.3808,0.817
0.0022676,0.0020161,0.51112,0.00019315,10.593,0.0054506,0.00298,1,0.408,6.75,0.408,0.817
0.0020844,0.0021275,0.50937,0.00027492,10.595,0.0062439,0.0030278,1,0.4352,6.75,0.4352,0.817
0.0019012,0.0022388,0.50762,0.00035669,10.597,0.0070372,0.0030756,1,0.4624,6.75,0.4624,0.817
0.001718,0.0023502,0.50586,0.00043846,10.599,0.0078306,0.0031234,1,0.4896,6.75,0.4896,0.817
0.0015364,0.0024613,0.50419,0.00052009,10.601,0.0086274,0.0031711,1,0.5168,6.75,0.5168,0.817
0.0013387,0.0029066,0.50251,0.0014328,10.606,0.0075011,0.0031712,1,0.544,6.75,0.544,0.817
0.0011399,0.0033686,0.50081,0.0023871,10.611,0.006278,0.0031689,1,0.5712,6.75,0.5712,0.817
0.00094109,0.0038306,0.49911,0.0033414,10.615,0.005055,0.0031666,1,0.5984,6.75,0.5984,0.817
0.00074228,0.0042926,0.49741,0.0042956,10.62,0.003832,0.0031643,1,0.6256,6.75,0.6256,0.817
0.00058753,0.0055657,0.4957,0.0086769,10.599,0.0032871,0.0031667,1,0.6528,6.75,0.6528,0.817
0.00061763,0.010283,0.49351,0.027625,10.473,0.0055908,0.0031845,1,0.68,6.75,0.68,0.817
0.00064772,0.015,0.49131,0.046573,10.347,0.0078946,0.0032023,1,0.7072,6.75,0.7072,0.817
0.00067781,0.019717,0.48911,0.065521,10.221,0.010198,0.0032201,1,0.7344,6.75,0.7344,0.817
0.0007079,0.024434,0.48691,0.084469,10.095,0.012502,0.0032379,1,0.7616,6.75,0.7616,0.817
0.00077944,0.029108,0.48479,0.10103,9.8369,0.014056,0.0031729,1,0.7888,6.75,0.7888,0.817
0.00090342,0.033629,0.4825,0.11411,9.4035,0.014597,0.0029974,1,0.816,6.75,0.816,0.817
0.0010274,0.03815,0.4802,0.12719,8.9702,0.015138,0.0028219,1,0.8432,6.75,0.8432,0.817
0.0011514,0.042671,0.47791,0.14028,8.5369,0.015679,0.0026464,1,0.8704,6.75,0.8704,0.817
