"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00025198,0.0224,1.3825,0.020759,0,0,0,1,0,4.95,0,0.817
0.0004909,0.020258,1.3766,0.018652,2.198,-0.0040872,0.00225,1,0.0272,4.95,0.0272,0.817
0.00072983,0.018116,1.3707,0.016546,4.3961,-0.0081743,0.0045001,1,0.0544,4.95,0.0544,0.817
0.00096875,0.015973,1.3648,0.014439,6.5941,-0.012261,0.0067501,1,0.0816,4.95,0.0816,0.817
0.0012078,0.013818,1.359,0.012314,8.7924,-0.016244,0.0089784,1,0.1088,4.95,0.1088,0.817
0.001417,0.011567,1.3508,0.010047,10.472,-0.019665,0.010534,1,0.136,4.95,0.136,0.817
0.0015263,0.0094249,1.3313,0.0079133,10.483,-0.02458,0.010624,1,0.1632,4.95,0.1632,0.817
0.0016356,0.0072831,1.3119,0.0057793,10.494,-0.029495,0.010713,1,0.1904,4.95,0.1904,0.817
0.001745,0.0051414,1.2924,0.0036452,10.505,-0.03441,0.010802,1,0.2176,4.95,0.2176,0.817
0.0018511,0.0029515,1.2741,0.0014435,10.516,-0.038954,0.010887,1,0.2448,4.95,0.2448,0.817
0.0019969,0.0017711,1.2499,0.00020818,10.523,-0.043055,0.010988,1,0.272,4.95,0.272,0.817
0.0021931,0.0018082,1.2163,0.00018679,10.526,-0.047495,0.011116,1,0.2992,4.95,0.2992,0.817
0.0023894,0.0018454,1.1828,0.00016539,10.528,-0.051935,0.011244,1,0.3264,4.95,0.3264,0.817
0.0025857,0.0018826,1.1492,0.000144,10.53,-0.056375,0.011373,1,0.3536,4.95,0.3536,0.817
0.0027803,0.0019184,1.1194,0.00012114,10.532,-0.060179,0.01149,1,0.3808,4.95,0.3808,0.817
0.0026815,0.0020113,1.0775,0.00015919,10.537,-0.063957,0.011624,1,0.408,4.95,0.408,0.817
0.002466,0.0021274,1.0297,0.00022206,10.542,-0.067917,0.011769,1,0.4352,4.95,0.4352,0.817
0.0022504,0.0022435,0.98193,0.00028493,10.548,-0.071877,0.011913,1,0.4624,4.95,0.4624,0.817
