"nut":
"k": turbulencia
"p": presion
"epsilon"
"U:0" = U_x (paralelo al viento)
"U:1" = U_y
"U:2" = U_z
"Points:0" = coordenada_x
"Points:1" = coordenada_y
"Points:2" = coordenada_z (vale siempre lo mismo ya estos son datos para un plano en z)

"nut","k","p","epsilon","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.0015405,0.0085111,3.2284,0.0060366,10.239,-0.061692,0.015522,4.1488,0.12952,0.817
0.00021198,0.015461,3.2376,0.011901,0,0,0,4.1488,0,0.817
0.0015365,0.0080363,3.826,0.0055092,10.183,-0.061288,0.015505,4.0192,0.12952,0.817
0.000206,0.014545,3.8116,0.010859,0,0,0,4.0192,0,0.817
0.0027081,0.0016021,3.1912,0.00011559,10.277,-0.13315,0.016443,4.1488,0.25905,0.817
0.0026821,0.0015424,3.8674,0.00010667,10.212,-0.13231,0.016418,4.0192,0.25905,0.817
0.0042753,0.0017899,3.1083,6.7742e-05,10.28,-0.21942,0.018018,4.1488,0.38857,0.817
0.0042206,0.0016584,3.9495,5.8731e-05,10.201,-0.21858,0.017991,4.0192,0.38857,0.817
0.0037944,0.0023096,2.9331,0.00014545,10.294,-0.33547,0.020406,4.1488,0.5181,0.817
0.0042552,0.0020288,4.111,9.1963e-05,10.186,-0.33557,0.020386,4.0192,0.5181,0.817
0.0037146,0.0032205,4.427,0.00035462,10.156,-0.50337,0.02389,4.0192,0.64762,0.817
0.0026438,0.0043083,2.5953,0.00092479,10.326,-0.49046,0.0239,4.1488,0.64762,0.817
0.0015347,0.0075856,4.3809,0.0050234,10.131,-0.056461,0.015123,3.8895,0.12952,0.817
0.00020012,0.013675,4.3495,0.0098995,0,0,0,3.8895,0,0.817
0.0026555,0.0014858,4.478,9.8518e-05,10.153,-0.12102,0.015969,3.8895,0.25905,0.817
0.0040939,0.0015323,4.6698,5.1641e-05,10.13,-0.19661,0.017414,3.8895,0.38857,0.817
0.0043635,0.0017433,5.0247,6.3188e-05,10.096,-0.29386,0.01952,3.8895,0.5181,0.817
0.0045183,0.0023183,5.6768,0.00011603,10.03,-0.42745,0.022338,3.8895,0.64762,0.817
0.0015362,0.0071565,4.8645,0.0045737,10.084,-0.048968,0.014428,3.7599,0.12952,0.817
