"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00030518,0.03387,0.70057,0.038592,0,0,0,1,0,5.85,0,0.817
0.00055994,0.030549,0.69829,0.03465,2.2089,0.00043693,0.00098575,1,0.0272,5.85,0.0272,0.817
0.00081471,0.027228,0.696,0.030709,4.4177,0.00087386,0.0019715,1,0.0544,5.85,0.0544,0.817
0.0010695,0.023908,0.69372,0.026768,6.6266,0.0013108,0.0029572,1,0.0816,5.85,0.0816,0.817
0.0013242,0.020587,0.69143,0.022826,8.8354,0.0017477,0.003943,1,0.1088,5.85,0.1088,0.817
0.0015293,0.017144,0.68873,0.018668,10.522,0.0021036,0.004648,1,0.136,5.85,0.136,0.817
0.0015681,0.013798,0.68471,0.014669,10.534,0.0013696,0.004698,1,0.1632,5.85,0.1632,0.817
0.001607,0.010452,0.68069,0.01067,10.547,0.00063551,0.004748,1,0.1904,5.85,0.1904,0.817
0.0016458,0.0071062,0.67667,0.0066713,10.56,-9.8526e-05,0.0047979,1,0.2176,5.85,0.2176,0.817
0.001684,0.0037494,0.67268,0.0026534,10.573,-0.00082788,0.004848,1,0.2448,5.85,0.2448,0.817
0.0017902,0.0018933,0.66795,0.00034638,10.58,-0.0016178,0.0048869,1,0.272,5.85,0.272,0.817
0.0019832,0.0019048,0.66169,0.00029595,10.58,-0.0025671,0.0049127,1,0.2992,5.85,0.2992,0.817
0.0021761,0.0019163,0.65544,0.00024552,10.579,-0.0035163,0.0049384,1,0.3264,5.85,0.3264,0.817
0.0023691,0.0019278,0.64918,0.0001951,10.579,-0.0044656,0.0049642,1,0.3536,5.85,0.3536,0.817
0.0025624,0.0019375,0.64337,0.0001424,10.579,-0.0053736,0.0049882,1,0.3808,5.85,0.3808,0.817
0.0024635,0.0020234,0.63684,0.00018466,10.58,-0.0053371,0.0050285,1,0.408,5.85,0.408,0.817
0.0022472,0.0021416,0.62959,0.00026712,10.583,-0.0049628,0.0050769,1,0.4352,5.85,0.4352,0.817
0.002031,0.0022598,0.62233,0.00034958,10.586,-0.0045886,0.0051253,1,0.4624,5.85,0.4624,0.817
0.0018148,0.002378,0.61508,0.00043204,10.588,-0.0042143,0.0051737,1,0.4896,5.85,0.4896,0.817
0.0016,0.0024958,0.60855,0.00051473,10.591,-0.0037802,0.0052216,1,0.5168,5.85,0.5168,0.817
0.0013896,0.0029336,0.59972,0.0014614,10.597,-0.0054941,0.0052157,1,0.544,5.85,0.544,0.817
0.0011793,0.0033875,0.59075,0.0024512,10.602,-0.007318,0.0052071,1,0.5712,5.85,0.5712,0.817
0.00096906,0.0038413,0.58178,0.003441,10.608,-0.0091419,0.0051986,1,0.5984,5.85,0.5984,0.817
0.00075879,0.0042952,0.5728,0.0044309,10.614,-0.010966,0.00519,1,0.6256,5.85,0.6256,0.817
0.00058991,0.0054067,0.56445,0.008487,10.594,-0.011941,0.0051879,1,0.6528,5.85,0.6528,0.817
0.00059148,0.0093112,0.55256,0.025595,10.469,-0.0098881,0.0052241,1,0.68,5.85,0.68,0.817
0.00059305,0.013216,0.54068,0.042703,10.343,-0.0078349,0.0052603,1,0.7072,5.85,0.7072,0.817
0.00059462,0.01712,0.5288,0.059812,10.218,-0.0057817,0.0052965,1,0.7344,5.85,0.7344,0.817
0.00059622,0.021025,0.51693,0.07692,10.092,-0.0037283,0.0053326,1,0.7616,5.85,0.7616,0.817
0.00064038,0.024811,0.50786,0.091135,9.8319,-0.0020084,0.0053091,1,0.7888,5.85,0.7888,0.817
0.00073556,0.028312,0.49907,0.10137,9.3924,-0.00078603,0.0052139,1,0.816,5.85,0.816,0.817
0.00083074,0.031813,0.49028,0.1116,8.953,0.00043636,0.0051187,1,0.8432,5.85,0.8432,0.817
0.00092592,0.035314,0.48149,0.12184,8.5135,0.0016588,0.0050235,1,0.8704,5.85,0.8704,0.817
