"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0005555,0.12496,0.2368,0.2734,0,0,0,1,0,9.45,0,0.817
0.00098865,0.11281,0.23752,0.24643,2.1962,0.0034221,0.0004281,1,0.0272,9.45,0.0272,0.817
0.0014263,0.10042,0.23826,0.21867,4.3919,0.006865,0.00085643,1,0.0544,9.45,0.0544,0.817
0.001864,0.088035,0.239,0.19092,6.5877,0.010308,0.0012848,1,0.0816,9.45,0.0816,0.817
0.0023016,0.075649,0.23974,0.16316,8.7834,0.013751,0.0017131,1,0.1088,9.45,0.1088,0.817
0.0025429,0.063236,0.24029,0.13551,10.468,0.016114,0.0020544,1,0.136,9.45,0.136,0.817
0.0021453,0.050401,0.24023,0.10712,10.517,0.015024,0.0021177,1,0.1632,9.45,0.1632,0.817
0.0017433,0.037427,0.24017,0.078269,10.566,0.013934,0.0021812,1,0.1904,9.45,0.1904,0.817
0.0013413,0.024452,0.24011,0.04942,10.616,0.012844,0.0022447,1,0.2176,9.45,0.2176,0.817
0.00093927,0.011477,0.24006,0.020572,10.665,0.011755,0.0023081,1,0.2448,9.45,0.2448,0.817
0.00080913,0.0044275,0.23969,0.0049733,10.684,0.011171,0.0023477,1,0.272,9.45,0.272,0.817
0.00097566,0.0038581,0.23898,0.0038723,10.669,0.011146,0.0023611,1,0.2992,9.45,0.2992,0.817
0.001142,0.0032865,0.23827,0.0027664,10.654,0.011122,0.0023745,1,0.3264,9.45,0.3264,0.817
0.0013084,0.0027148,0.23757,0.0016606,10.639,0.011098,0.0023879,1,0.3536,9.45,0.3536,0.817
0.0014748,0.0021432,0.23686,0.00055478,10.624,0.011073,0.0024013,1,0.3808,9.45,0.3808,0.817
0.0014972,0.0020362,0.23653,0.00028,10.621,0.011568,0.0024341,1,0.408,9.45,0.408,0.817
0.0014659,0.0021136,0.23636,0.00033604,10.622,0.012264,0.0024741,1,0.4352,9.45,0.4352,0.817
0.0014347,0.002191,0.23618,0.00039208,10.623,0.01296,0.0025141,1,0.4624,9.45,0.4624,0.817
0.0014034,0.0022684,0.236,0.00044812,10.625,0.013656,0.0025542,1,0.4896,9.45,0.4896,0.817
0.0013722,0.0023457,0.23583,0.00050417,10.626,0.014351,0.0025942,1,0.5168,9.45,0.5168,0.817
0.0012103,0.0028757,0.23525,0.0015422,10.63,0.013474,0.0026176,1,0.544,9.45,0.544,0.817
0.0010427,0.0034322,0.23465,0.0026376,10.634,0.012524,0.0026402,1,0.5712,9.45,0.5712,0.817
0.00087506,0.0039887,0.23404,0.0037329,10.637,0.011575,0.0026628,1,0.5984,9.45,0.5984,0.817
0.00070747,0.0045451,0.23344,0.0048283,10.641,0.010626,0.0026855,1,0.6256,9.45,0.6256,0.817
0.00059627,0.0065471,0.23289,0.011315,10.621,0.010295,0.0027082,1,0.6528,9.45,0.6528,0.817
0.00072875,0.014827,0.23255,0.041099,10.499,0.012588,0.0027307,1,0.68,9.45,0.68,0.817
0.00086334,0.023176,0.23221,0.071084,10.376,0.014879,0.0027529,1,0.7072,9.45,0.7072,0.817
0.00099793,0.031526,0.23187,0.10107,10.254,0.01717,0.0027752,1,0.7344,9.45,0.7344,0.817
0.0011325,0.039875,0.23152,0.13105,10.132,0.019461,0.0027974,1,0.7616,9.45,0.7616,0.817
0.0013165,0.048398,0.2309,0.15893,9.89,0.021105,0.0026993,1,0.7888,9.45,0.7888,0.817
0.0015739,0.057397,0.22989,0.18467,9.489,0.021912,0.002438,1,0.816,9.45,0.816,0.817
0.0018322,0.066424,0.22887,0.21049,9.0883,0.022721,0.0021764,1,0.8432,9.45,0.8432,0.817
0.0020904,0.075451,0.22786,0.23631,8.6875,0.02353,0.0019147,1,0.8704,9.45,0.8704,0.817
0.0023487,0.084478,0.22684,0.26213,8.2867,0.02434,0.001653,1,0.8976,9.45,0.8976,0.817
0.0023758,0.082874,0.22624,0.25219,7.9494,0.022356,0.001197,1,0.9248,9.45,0.9248,0.817
0.0022808,0.075798,0.22584,0.22394,7.6438,0.018963,0.00064359,1,0.952,9.45,0.952,0.817
0.0021859,0.068722,0.22544,0.19568,7.3383,0.015569,9.021e-05,1,0.9792,9.45,0.9792,0.817
0.002091,0.061646,0.22504,0.16743,7.0327,0.012176,-0.00046317,1,1.0064,9.45,1.0064,0.817
0.001996,0.05457,0.22464,0.13917,6.7271,0.0087822,-0.0010166,1,1.0336,9.45,1.0336,0.817
0.0019539,0.046261,0.22458,0.11295,6.6734,0.0080662,-0.0015403,1,1.0608,9.45,1.0608,0.817
0.0019101,0.037653,0.22455,0.086475,6.6452,0.0076087,-0.0020613,1,1.088,9.45,1.088,0.817
0.0018663,0.029045,0.22453,0.060004,6.617,0.0071513,-0.0025822,1,1.1152,9.45,1.1152,0.817
0.0018224,0.020437,0.22451,0.033533,6.5888,0.0066939,-0.0031032,1,1.1424,9.45,1.1424,0.817
0.0018123,0.013004,0.22447,0.010638,6.5647,0.0061432,-0.0035969,1,1.1696,9.45,1.1696,0.817
0.0020045,0.012621,0.22439,0.0091979,6.5649,0.0050326,-0.003927,1,1.1968,9.45,1.1968,0.817
0.0021966,0.012237,0.22431,0.0077574,6.5651,0.0039219,-0.0042571,1,1.224,9.45,1.224,0.817
0.0023887,0.011853,0.22422,0.006317,6.5653,0.0028113,-0.0045873,1,1.2512,9.45,1.2512,0.817
0.0025808,0.011469,0.22414,0.0048765,6.5655,0.0017006,-0.0049174,1,1.2784,9.45,1.2784,0.817
0.0026998,0.011239,0.22408,0.0040137,6.5656,0.00085854,-0.0051223,1,1.3056,9.45,1.3056,0.817
0.0026998,0.011239,0.22409,0.0040137,6.5656,0.00044004,-0.0051228,1,1.3328,9.45,1.3328,0.817
0.0026998,0.011239,0.2241,0.0040137,6.5656,1.847e-05,-0.0051231,1,1.36,9.45,1.36,0.817
0.0026998,0.011239,0.22411,0.0040137,6.5656,-0.0004031,-0.0051234,1,1.3872,9.45,1.3872,0.817
0.0026998,0.011239,0.22413,0.0040137,6.5656,-0.00082466,-0.0051237,1,1.4144,9.45,1.4144,0.817
0.0025808,0.011469,0.22419,0.0048765,6.5655,-0.0016754,-0.0049201,1,1.4416,9.45,1.4416,0.817
0.0023887,0.011853,0.2243,0.006317,6.5653,-0.0027883,-0.0045903,1,1.4688,9.45,1.4688,0.817
0.0021966,0.012237,0.2244,0.0077574,6.5651,-0.0039013,-0.0042605,1,1.496,9.45,1.496,0.817
0.0020045,0.012621,0.22451,0.0091979,6.5649,-0.0050142,-0.0039307,1,1.5232,9.45,1.5232,0.817
0.0018123,0.013004,0.22462,0.010638,6.5647,-0.0061272,-0.0036009,1,1.5504,9.45,1.5504,0.817
0.0018159,0.020284,0.22467,0.033118,6.5879,-0.0066598,-0.0031077,1,1.5776,9.45,1.5776,0.817
