---code V3.c---
Turbine, Uinf(upstream), Uinf(U_dCenter), Cp(U_dCenter), Ct(U_dCenter), Power(U_dCenter), Thrust(U_dCenter) , Average Ud, Center  Ud , Uinf(disc cells), Power(disc cells), Thrust(disc cells)
Dir: 0
Finalising parallel run
disk0,7.54913,7.53047,0.000450409,0.759703,749.469,167868,5.65687,5.68077,7.6412,789.094,173286
disk1,7.99499,7.95619,0.000442215,0.734585,867.82,181189,5.99939,6.07713,7.99315,884.807,183212
disk2,7.91571,7.9545,0.000442257,0.734684,867.352,181137,6.00322,6.07556,7.99485,885.298,183304
disk3,7.9144,8.0778,0.000438586,0.722198,900.772,183621,6.02086,6.2107,8.01122,883.29,180923
Dir: 2
Finalising parallel run
disk0,7.7596,7.73389,0.000447169,0.7477,806.022,174263,5.82031,5.87017,7.81205,835.776,178164
disk1,7.96559,7.91677,0.000443186,0.736911,856.862,179967,5.96596,6.04043,7.96077,876.13,182314
disk2,7.90168,7.95193,0.000442322,0.734836,866.637,181058,5.99016,6.07317,7.97974,880.879,182683
disk3,7.90893,8.18747,0.000434889,0.708378,930.055,185032,6.0394,6.34151,8.01986,880.294,177956
Dir: 4
Finalising parallel run
disk0,7.93636,7.94796,0.000442421,0.735071,865.532,180934,5.94396,6.06947,7.92503,864.489,180345
disk1,7.96693,7.94356,0.00044253,0.73533,864.309,180798,5.96404,6.06537,7.94994,872.545,181519
disk2,7.9053,7.95049,0.000442358,0.734921,866.236,181013,5.98125,6.07183,7.96721,877.721,182195
disk3,7.90991,8.26423,0.000432202,0.698708,950.548,185943,6.05329,6.43305,8.0355,879.944,176210
Dir: 6
Finalising parallel run
disk0,7.97457,7.94241,0.000442559,0.735398,863.991,180762,6.0143,6.0643,7.99683,887.363,183630
disk1,7.9679,7.92341,0.000443025,0.736519,858.709,180173,5.9736,6.04662,7.96109,877.077,182314
disk2,7.90901,7.91859,0.000443142,0.736803,857.368,180023,5.98187,6.04213,7.96996,880.037,182777
disk3,7.90952,8.23413,0.000433265,0.7025,942.512,185593,6.0451,6.39716,8.03119,879.639,176903
Dir: 8
Finalising parallel run
disk0,8.00092,7.8956,0.000443692,0.73816,850.976,179309,6.02067,6.02072,8.0065,892.573,184744
disk1,7.96838,7.93684,0.000442696,0.735726,862.441,180590,5.99233,6.05912,7.97993,882.282,182954
disk2,7.91188,7.90945,0.000443362,0.737342,854.827,179739,5.98911,6.03362,7.97738,882.69,183234
disk3,7.90998,8.14493,0.000436344,0.713739,918.697,184499,6.0247,6.29077,8.00866,878.818,178751
Dir: 10
Finalising parallel run
disk0,8.00673,7.89329,0.000443746,0.738296,850.334,179237,6.00981,6.01857,7.99768,889.972,184388
disk1,7.96472,7.95417,0.000442266,0.734704,867.26,181127,5.9933,6.07525,7.98154,881.668,182753
disk2,7.91614,7.92516,0.000442982,0.736415,859.195,180227,5.99303,6.04825,7.98184,883.249,183197
disk3,7.90194,8.1018,0.000437792,0.719173,907.181,183941,6.00189,6.23934,7.98976,875.618,179270
Dir: 12
Finalising parallel run
disk0,8.01164,7.93117,0.000442836,0.736061,860.864,180414,5.9893,6.05384,7.97789,881.472,182914
disk1,7.95476,7.93679,0.000442697,0.735729,862.428,180588,5.94989,6.05907,7.93651,867.932,180966
disk2,7.91964,7.9831,0.000441532,0.732997,875.303,182023,5.98944,6.10219,7.97554,878.384,182066
disk3,7.90435,8.12619,0.000436977,0.716101,913.692,184259,6.00814,6.26842,7.99553,875.998,178770
Dir: 14
Finalising parallel run
disk0,8.00506,7.83504,0.000445077,0.741733,834.14,177423,5.90067,5.96434,7.88983,857.388,180309
disk1,7.82857,7.81958,0.000445415,0.742645,829.844,176941,5.85078,5.94995,7.83759,841.775,178196
disk2,7.92454,7.8993,0.000443604,0.737941,852.006,179424,5.986,6.02417,7.97491,882.122,183252
disk3,7.9047,8.14381,0.000436382,0.71388,918.396,184485,6.02962,6.28943,8.0154,880.924,179074
Dir: 16
Finalising parallel run
disk0,7.884,7.79417,0.000445957,0.744144,822.779,176148,5.7684,5.92629,7.7494,816.478,174690
disk1,7.68499,7.5524,0.000450129,0.758408,755.568,168560,5.68164,5.7012,7.66433,796.952,174127
disk2,7.92777,8.05001,0.000439494,0.725698,893.353,183244,6.05574,6.17757,8.03785,894.505,183048
disk3,7.90768,8.18315,0.000435038,0.708923,928.901,184978,6.05385,6.33635,8.03735,885.128,178784
Dir: 18
Finalising parallel run
disk0,7.73241,7.48058,0.000450978,0.762646,735.601,166293,5.57099,5.63433,7.54535,762.966,169787
disk1,7.03243,7.34672,0.000451997,0.770544,698.387,162056,5.45861,5.5097,7.42225,728.831,166067
disk2,7.93345,8.05404,0.000439363,0.725191,894.429,183299,6.07014,6.18237,8.05292,899.021,183589
disk3,7.90815,8.14068,0.000436488,0.714275,917.561,184445,6.02147,6.2857,8.00612,878.105,178761
Dir: 20
Finalising parallel run
disk0,6.95869,7.11823,0.000451738,0.784024,634.868,154794,5.26921,5.29697,7.19233,667.815,159068
disk1,6.65674,6.9374,0.000451612,0.791,587.539,148337,5.20917,5.14051,7.14183,650.547,157979
disk2,7.93597,8.00305,0.000440998,0.731616,880.814,182589,6.02906,6.12156,8.01753,890.889,183617
disk3,7.90887,8.18536,0.000434962,0.708645,929.49,185006,6.05933,6.33899,8.03834,885.44,178768
Dir: 22
Finalising parallel run
disk0,6.13856,6.5657,0.000454883,0.791,501.678,132868,4.95338,4.86509,6.82288,575.764,144552
disk1,6.29239,6.76594,0.000454006,0.791,547.933,141096,5.04394,5.01347,6.94376,600.439,149283
disk2,7.93571,7.97969,0.00044162,0.733199,874.353,181917,6.04506,6.09901,8.02895,895.792,184527
disk3,7.91186,8.17311,0.000435383,0.710189,926.219,184854,6.03628,6.32438,8.02084,880.776,178396
Dir: 24
Finalising parallel run
disk0,5.24336,6.15235,0.000447639,0.791,406.192,116665,4.66564,4.5588,6.45038,479.216,129233
disk1,5.96708,6.82891,0.000453284,0.791,562.478,143734,4.95498,5.06012,6.82582,568.537,144178
disk2,7.93819,7.90822,0.000443391,0.737415,854.486,179701,6.01099,6.03247,7.99846,889.84,184227
disk3,7.90531,8.2369,0.000433167,0.702151,943.251,185626,6.08354,6.40046,8.06155,889.066,178129
Dir: 26
Finalising parallel run
disk0,5.08298,6.04235,0.000442975,0.791,380.783,112530,4.54233,4.47729,6.27746,434.561,122161
disk1,5.98249,6.77219,0.000453943,0.791,549.375,141356,4.94356,5.01809,6.81594,566.688,143744
disk2,7.94206,8.09935,0.000437874,0.719482,906.526,183908,6.0981,6.23641,8.07893,904.418,183304
disk3,7.90845,8.052,0.000439429,0.725448,893.883,183271,6.0057,6.17994,7.99326,878.997,180921
Dir: 28
Finalising parallel run
disk0,5.01891,6.02546,0.000442133,0.791,376.88,111902,4.53108,4.46477,6.25842,429.265,121372
disk1,6.37965,7.03356,0.000450888,0.78902,611.329,152097,5.10206,5.21814,7.0084,614.168,151785
disk2,7.94775,7.98024,0.000441605,0.733166,874.507,181935,6.04766,6.09952,8.0319,897.096,184678
disk3,7.91029,8.22898,0.000433445,0.703148,941.138,185533,6.08015,6.39102,8.05601,887.966,178147
Dir: 30
Finalising parallel run
disk0,5.31645,6.10588,0.000445836,0.791,395.459,114909,4.65186,4.52437,6.42369,469.67,128012
disk1,6.72818,7.36149,0.000451923,0.769672,702.493,162524,5.33479,5.52345,7.27785,687.991,159565
disk2,7.94392,7.99106,0.000441327,0.732528,877.513,182269,6.05427,6.10959,8.03931,898.856,184847
disk3,7.91467,8.22212,0.000433685,0.704013,939.306,185451,6.06976,6.38283,8.05124,886.9,178157
Dir: 32
Finalising parallel run
disk0,5.62209,6.48774,0.000454555,0.791,483.668,129731,4.8835,4.80732,6.72628,550.736,140442
disk1,7.45192,7.72575,0.000447324,0.748181,803.759,174008,5.59042,5.86259,7.56064,761.443,167248
disk2,7.95208,7.99451,0.000441237,0.732324,878.473,182376,6.05932,6.11281,8.04448,900.237,185021
disk3,7.91472,8.17308,0.000435384,0.710192,926.212,184854,6.06149,6.32434,8.04475,888.3,179437
Dir: 34
Finalising parallel run
disk0,6.45499,6.88669,0.000452458,0.791,575.824,146177,5.14998,5.10294,7.055,630.568,154348
disk1,7.76088,7.8968,0.000443663,0.738089,851.31,179346,5.7802,6.02184,7.76566,815.746,173878
disk2,7.95693,8.07538,0.000438666,0.722502,900.127,183589,6.09886,6.20782,8.08068,906.569,184148
disk3,7.90586,7.85623,0.000444603,0.740482,840.032,178084,6.00612,5.98407,7.99469,890.573,184788
Dir: 36
Finalising parallel run
disk0,6.9483,7.28574,0.000452192,0.774141,681.436,160121,5.42177,5.45293,7.36853,716.582,164682
disk1,7.86318,8.13218,0.000436775,0.715346,915.291,184336,5.96693,6.27556,7.94755,859.996,176450
disk2,7.96441,8.00927,0.000440801,0.730832,882.476,182677,6.07221,6.12898,8.05788,903.539,185239
disk3,7.91175,7.86012,0.000444515,0.740253,841.114,178205,5.99884,5.98769,7.99111,889.037,184554
Dir: 38
Finalising parallel run
disk0,7.80118,7.64717,0.00044872,0.752817,781.913,171543,5.68155,5.78943,7.65891,793.331,172640
disk1,7.95557,8.15295,0.000436071,0.712728,920.838,184601,6.0602,6.30034,8.04308,888.525,179959
disk2,7.96132,7.96442,0.000442008,0.734099,870.109,181445,6.04708,6.0848,8.03779,899.478,185156
disk3,7.91231,7.81711,0.000445468,0.742791,829.156,176864,5.98612,5.94764,7.98022,887.329,184685
Dir: 40
Finalising parallel run
disk0,7.91258,7.83165,0.000445152,0.741933,833.197,177318,5.85225,5.96118,7.8373,841.191,178012
disk1,7.9706,8.21803,0.000433828,0.704528,938.214,185402,6.12019,6.37796,8.09843,901.919,180318
disk2,7.96435,8.01459,0.000440632,0.730162,883.894,182752,6.08713,6.13532,8.07298,907.991,185743
disk3,7.91295,7.87182,0.000444247,0.739563,844.366,178569,6.00963,5.99858,7.99937,890.787,184730
Dir: 42
Finalising parallel run
disk0,7.97489,7.88234,0.000444003,0.738942,847.291,178896,5.9763,6.00838,7.96307,878.393,182914
disk1,7.97765,8.25161,0.000432649,0.700298,947.179,185798,6.15695,6.418,8.13347,911.148,180787
disk2,7.9729,8.00649,0.000440889,0.731182,881.733,182638,6.08528,6.12566,8.07128,907.981,185927
disk3,7.91338,7.93213,0.000442812,0.736004,861.133,180444,6.02202,6.05473,8.01141,892.084,184407
Dir: 44
Finalising parallel run
disk0,8.03431,8.01371,0.00044066,0.730273,883.661,182740,6.05727,6.13427,8.04428,898.04,184427
disk1,7.97571,8.17768,0.000435226,0.709612,927.441,184911,6.15099,6.32983,8.12897,914.828,182973
disk2,7.97081,8.05068,0.000439472,0.725614,893.533,183253,6.09944,6.17837,8.0821,908.41,184985
disk3,7.91293,7.96091,0.000442097,0.734306,869.133,181336,6.04596,6.08152,8.03594,898.144,185061
Dir: 46
Finalising parallel run
disk0,8.03616,8.04834,0.000439548,0.725909,892.908,183221,6.10402,6.17558,8.08805,910.239,185310
disk1,7.97371,8.17767,0.000435226,0.709613,927.439,184911,6.15039,6.32982,8.12873,914.775,182965
disk2,7.97375,8.0556,0.000439312,0.724994,894.846,183321,6.10204,6.18424,8.08443,908.887,184935
disk3,7.91287,7.95627,0.000442213,0.73458,867.842,181192,6.04209,6.0772,8.03256,897.303,184978
Dir: 48
Finalising parallel run
disk0,8.03477,7.99469,0.000441233,0.732313,878.524,182382,6.10468,6.11298,8.08625,913.386,186880
disk1,7.97127,8.19965,0.000434468,0.706844,933.306,185180,6.15593,6.35603,8.13302,914.68,182447
disk2,7.98239,8.01915,0.000440487,0.729587,885.114,182816,6.09991,6.14076,8.08446,911.523,186122
disk3,7.91338,7.93213,0.000442812,0.736004,861.132,180443,6.02205,6.05473,8.01145,892.096,184408
Dir: 50
Finalising parallel run
disk0,8.02781,8.01427,0.000440642,0.730202,883.811,182748,6.11626,6.13494,8.09788,916.285,186891
