---code V2.a---
Turbine, Uinf(upstream), Uinf(U_dCenter), Cp(U_dCenter), Ct(U_dCenter), Power(U_dCenter), Thrust(U_dCenter) , Average Ud, Center  Ud , Uinf(disc cells), Power(disc cells), Thrust(disc cells)
Dir: 0
Finalising parallel run
disk0,7.55296,7.5911,0.00044962,0.756125,766.374,169779,5.67053,5.71931,7.5911,766.374,169779
disk1,7.99582,7.98808,0.00044141,0.732703,876.699,182177,5.98783,6.08807,7.98808,876.699,182177
disk2,7.91577,8.0002,0.000441094,0.731975,880.065,182549,5.98683,6.09938,8.0002,880.065,182549
disk3,7.91312,8.01362,0.000440669,0.730284,883.647,182738,5.96971,6.11535,8.01362,883.647,182738
Dir: 2
Finalising parallel run
disk0,7.75901,7.79559,0.000445943,0.74406,823.203,176192,5.81715,5.90926,7.79559,823.203,176192
disk1,7.96764,7.95155,0.000442339,0.734859,866.545,181046,5.95724,6.05413,7.95155,866.545,181046
disk2,7.90193,7.9972,0.000441173,0.732165,879.232,182459,5.96759,6.09654,7.9972,879.232,182459
disk3,7.90567,8.13307,0.000436751,0.715233,915.543,184348,5.92036,6.2576,8.13307,915.543,184348
Dir: 4
Finalising parallel run
disk0,7.93631,7.99504,0.000441229,0.732292,878.633,182393,5.87939,6.09454,7.99504,878.633,182393
disk1,7.96842,7.972,0.000441823,0.733652,872.229,181679,5.92971,6.07313,7.972,872.229,181679
disk2,7.90538,7.98808,0.00044141,0.732703,876.699,182177,5.94719,6.08807,7.98808,876.699,182177
disk3,7.90589,8.09965,0.00043787,0.719445,906.618,183912,5.9055,6.2178,8.09965,906.618,183912
Dir: 6
Finalising parallel run
disk0,7.97587,7.99503,0.00044123,0.732293,878.629,182392,6.0019,6.09452,7.99503,878.629,182392
disk1,7.96958,7.95321,0.000442298,0.734761,867.007,181097,5.95525,6.05567,7.95321,867.007,181097
disk2,7.9099,7.95719,0.000442198,0.734526,868.115,181221,5.96733,6.05938,7.95719,868.115,181221
disk3,7.90612,8.06419,0.000439038,0.723912,897.151,183438,5.92655,6.17558,8.06419,897.151,183438
Dir: 8
Finalising parallel run
disk0,8.0021,7.98304,0.00044154,0.733001,875.298,182021,6.03117,6.08339,7.98304,875.298,182021
disk1,7.96931,7.96867,0.000441907,0.733849,871.304,181576,5.97987,6.07004,7.96867,871.304,181576
disk2,7.9128,7.95693,0.000442204,0.734541,868.042,181213,5.98368,6.05914,7.95693,868.042,181213
disk3,7.90812,7.98115,0.000441588,0.733112,874.772,181963,5.95091,6.08163,7.98115,874.772,181963
Dir: 10
Finalising parallel run
disk0,8.00792,7.95464,0.000442262,0.734676,867.404,181141,6.01895,6.057,7.95464,867.404,181141
disk1,7.96465,7.98523,0.000441483,0.732872,875.905,182089,5.97024,6.08542,7.98523,875.905,182089
disk2,7.91658,7.97377,0.000441778,0.733548,872.721,181734,5.97915,6.07477,7.97377,872.721,181734
disk3,7.90069,7.92809,0.00044292,0.736243,860.027,180318,5.94997,6.03234,7.92809,860.027,180318
Dir: 12
Finalising parallel run
disk0,8.01245,7.98446,0.000441503,0.732917,875.692,182065,5.96848,6.0847,7.98446,875.692,182065
disk1,7.95432,7.99178,0.000441314,0.732485,877.727,182292,5.90257,6.09151,7.99178,877.727,182292
disk2,7.91894,8.04518,0.000439656,0.726307,892.075,183178,5.94322,6.15294,8.04518,892.075,183178
disk3,7.90241,7.95695,0.000442204,0.73454,868.047,181213,5.93407,6.05915,7.95695,868.047,181213
Dir: 14
Finalising parallel run
disk0,8.00477,7.91767,0.000443174,0.736858,857.13,179994,5.87793,6.02266,7.91767,857.13,179994
disk1,7.82643,7.82779,0.00044525,0.742161,832.151,177197,5.82097,5.93917,7.82779,832.151,177197
disk2,7.92517,7.98207,0.000441565,0.733058,875.029,181991,5.96932,6.08249,7.98207,875.029,181991
disk3,7.90257,7.9885,0.000441399,0.732678,876.816,182190,5.9521,6.08846,7.9885,876.816,182190
Dir: 16
Finalising parallel run
disk0,7.88916,7.85402,0.000444666,0.740613,839.441,178015,5.69773,5.96353,7.85402,839.441,178015
disk1,7.6815,7.57151,0.0004499,0.757281,760.93,169162,5.69129,5.70112,7.57151,760.93,169162
disk2,7.92793,8.04874,0.000439541,0.725859,893.024,183227,6.02038,6.15718,8.04874,893.024,183227
disk3,7.90522,8.03126,0.000440105,0.728062,888.357,182985,5.9649,6.13636,8.03126,888.357,182985
Dir: 18
Finalising parallel run
disk0,7.75521,7.50981,0.00045069,0.760921,743.784,167216,5.59986,5.64381,7.50981,743.784,167216
disk1,6.99589,7.314,0.000452172,0.772474,689.366,161018,5.44356,5.46192,7.314,689.366,161018
disk2,7.934,8.05324,0.000439395,0.725292,894.226,183288,6.04073,6.16253,8.05324,894.226,183288
disk3,7.90576,8.01975,0.000440473,0.729511,885.286,182825,5.93057,6.12266,8.01975,885.286,182825
Dir: 20
Finalising parallel run
disk0,7.09121,7.19794,0.000452203,0.779321,657.113,157331,5.29901,5.35411,7.19794,657.113,157331
disk1,6.62829,6.91831,0.000452016,0.791,583.224,147522,5.25775,5.1099,6.91831,583.224,147522
disk2,7.9369,8.00203,0.000441036,0.731744,880.553,182575,6.0024,6.10156,8.00203,880.553,182575
disk3,7.90639,8.06798,0.000438914,0.723434,898.164,183489,5.9635,6.1801,8.06798,898.164,183489
Dir: 22
Finalising parallel run
disk0,6.26164,6.65655,0.00045483,0.791,522.731,136570,5.05757,4.91657,6.65655,522.731,136570
disk1,6.23758,6.73092,0.000454384,0.791,539.919,139639,5.07697,4.9715,6.73092,539.919,139639
disk2,7.93745,8.01208,0.000440717,0.730478,883.237,182717,6.03511,6.11353,8.01208,883.237,182717
disk3,7.9093,8.04375,0.000439702,0.726488,891.693,183158,5.92908,6.15124,8.04375,891.693,183158
Dir: 24
Finalising parallel run
disk0,5.25711,6.14725,0.000447471,0.791,405.031,116471,4.775,4.54039,6.14725,405.031,116471
disk1,5.87945,6.73226,0.000454373,0.791,540.227,139694,4.90693,4.97248,6.73226,540.227,139694
disk2,7.94072,7.94628,0.000442471,0.73517,865.081,180882,6.01106,6.04924,7.94628,865.081,180882
disk3,7.90191,8.11804,0.000437257,0.717127,911.53,184153,5.97279,6.23971,8.11804,911.53,184153
Dir: 26
Finalising parallel run
disk0,5.1031,6.04967,0.000443336,0.791,382.48,112803,4.63813,4.46831,6.04967,382.48,112803
disk1,5.9435,6.69886,0.000454614,0.791,532.508,138312,4.94105,4.94781,6.69886,532.508,138312
disk2,7.94215,8.03833,0.000439877,0.727171,890.245,183083,6.06747,6.14478,8.03833,890.245,183083
disk3,7.90724,8.00792,0.00044085,0.731002,882.126,182658,5.95187,6.10857,8.00792,882.126,182658
Dir: 28
Finalising parallel run
disk0,5.03377,6.03027,0.000442382,0.791,377.997,112081,4.62754,4.45399,6.03027,377.997,112081
disk1,6.31422,6.86796,0.000452813,0.791,571.587,145383,5.06971,5.07271,6.86796,571.587,145383
disk2,7.95054,7.95172,0.000442335,0.734849,866.592,181051,6.05281,6.05429,7.95172,866.592,181051
disk3,7.90686,8.16444,0.000435686,0.71128,923.92,184746,5.96081,6.29496,8.16444,923.92,184746
Dir: 30
Finalising parallel run
disk0,5.3369,6.12145,0.000446482,0.791,399.068,115496,4.76866,4.52133,6.12145,399.068,115496
disk1,6.66812,7.18859,0.000452174,0.779873,654.513,157034,5.26036,5.34542,7.18859,654.513,157034
disk2,7.94683,7.96353,0.000442038,0.734152,869.876,181417,6.05788,6.06526,7.96353,869.876,181417
disk3,7.91141,8.13911,0.000436548,0.714472,917.156,184425,5.94903,6.26479,8.13911,917.156,184425
Dir: 32
Finalising parallel run
disk0,5.6291,6.47567,0.000454513,0.791,480.93,129249,4.96341,4.78297,6.47567,480.93,129249
disk1,7.43661,7.56232,0.000450027,0.757823,758.375,168872,5.49374,5.69258,7.56232,758.375,168872
disk2,7.95447,7.97394,0.000441773,0.733537,872.769,181740,6.06217,6.07493,7.97394,872.769,181740
disk3,7.91213,8.0972,0.000437952,0.719753,905.964,183880,5.95993,6.21488,8.0972,905.964,183880
Dir: 34
Finalising parallel run
disk0,6.49152,6.87647,0.000452686,0.791,573.555,145743,5.20975,5.079,6.87647,573.555,145743
disk1,7.76624,7.75371,0.0004468,0.746531,811.563,174883,5.73376,5.87036,7.75371,811.563,174883
disk2,7.95614,8.05151,0.000439451,0.72551,893.764,183265,6.07465,6.16047,8.05151,893.764,183265
disk3,7.90673,7.96686,0.000441953,0.733955,870.801,181520,6.00696,6.06836,7.96686,870.801,181520
Dir: 36
Finalising parallel run
disk0,6.94572,7.30371,0.000452202,0.773081,686.506,160692,5.38424,5.45236,7.30371,686.506,160692
disk1,7.86073,7.99071,0.000441342,0.732548,877.43,182259,5.8508,6.09051,7.99071,877.43,182259
disk2,7.96458,7.98922,0.00044138,0.732636,877.015,182212,6.07193,6.08913,7.98922,877.015,182212
disk3,7.91246,7.95861,0.000442162,0.734442,868.508,181264,5.99875,6.06069,7.95861,868.508,181265
Dir: 38
Finalising parallel run
disk0,7.79958,7.66431,0.000448456,0.751806,786.719,172081,5.63638,5.78732,7.66431,786.719,172081
disk1,7.95353,7.99127,0.000441327,0.732515,877.586,182276,5.99609,6.09103,7.99127,877.586,182276
disk2,7.9618,7.9474,0.000442443,0.735103,865.394,180917,6.05685,6.05028,7.9474,865.394,180917
disk3,7.91371,7.91995,0.000443118,0.736723,857.765,180065,6.00284,6.02479,7.91995,857.765,180065
Dir: 40
Finalising parallel run
disk0,7.9101,7.84492,0.000444871,0.74115,836.913,177731,5.80878,5.95509,7.84492,836.913,177731
disk1,7.96751,8.10968,0.000437536,0.71818,909.297,184044,6.04077,6.22975,8.10968,909.297,184044
disk2,7.96501,7.99932,0.000441118,0.73204,879.821,182525,6.09108,6.0985,7.99932,879.821,182525
disk3,7.91336,7.99414,0.000441253,0.732346,878.382,182365,6.00397,6.0937,7.99414,878.382,182365
Dir: 42
Finalising parallel run
disk0,7.97486,7.91933,0.000443133,0.73676,857.591,180046,5.97391,6.0242,7.91933,857.591,180046
disk1,7.97474,8.15686,0.000435945,0.712236,921.895,184651,6.07544,6.28593,8.15686,921.895,184651
disk2,7.97384,7.9931,0.00044128,0.732407,878.093,182332,6.09387,6.09273,7.9931,878.093,182332
disk3,7.91351,8.00121,0.000441062,0.731848,880.333,182563,6.00679,6.10057,8.00121,880.333,182563
Dir: 44
Finalising parallel run
disk0,8.03447,8.02684,0.000440246,0.728618,887.178,182924,6.04406,6.1311,8.02684,887.178,182924
disk1,7.9743,8.10044,0.000437844,0.719345,906.83,183923,6.10785,6.21874,8.10044,906.83,183923
disk2,7.97076,8.06347,0.000439062,0.724003,896.958,183428,6.08634,6.17472,8.06347,896.958,183428
disk3,7.91318,8.0465,0.000439613,0.726142,892.426,183196,6.03591,6.15451,8.0465,892.426,183196
Dir: 46
Finalising parallel run
disk0,8.03666,8.06433,0.000439034,0.723894,897.188,183440,6.09588,6.17575,8.06433,897.188,183440
disk1,7.97236,8.10065,0.000437837,0.719318,906.886,183925,6.107,6.219,8.10065,906.886,183925
disk2,7.97365,8.06756,0.000438928,0.723487,898.051,183483,6.08746,6.1796,8.06756,898.051,183483
disk3,7.91309,8.04254,0.000439741,0.72664,891.37,183141,6.03115,6.1498,8.04254,891.37,183141
Dir: 48
Finalising parallel run
disk0,8.03636,8.03748,0.000439905,0.727277,890.019,183072,6.12083,6.14378,8.03748,890.019,183072
disk1,7.96962,8.12472,0.000437033,0.716285,913.314,184240,6.10211,6.24766,8.12472,913.314,184240
disk2,7.98323,8.006,0.00044091,0.731243,881.614,182631,6.10729,6.10629,8.006,881.614,182631
disk3,7.91354,8.00134,0.000441058,0.731831,880.37,182565,6.00701,6.10074,8.00134,880.37,182565
Dir: 50
Finalising parallel run
disk0,8.03025,8.04541,0.000439649,0.726278,892.137,183181,6.12857,6.15322,8.04541,892.137,183181
