---code V2.b---
Turbine, Uinf(upstream), Uinf(U_dAv), Cp(U_dAv), Ct(U_dAv), Power(U_dAv), Thrust(U_dAv) , Average Ud, Center  Ud , Uinf(disc cells), Power(disc cells), Thrust(disc cells)
Dir: 0
Finalising parallel run
disk0,7.55274,7.62899,0.00044904,0.753889,776.905,170971,5.65451,5.70324,7.62899,776.905,170971
disk1,7.99551,7.99067,0.000441343,0.732551,877.417,182257,5.98638,6.08663,7.99067,877.417,182257
disk2,7.91579,7.99377,0.000441262,0.732367,878.281,182353,5.98923,6.10175,7.99377,878.281,182353
disk3,7.91342,7.98286,0.000441545,0.733011,875.247,182016,5.97921,6.12464,7.98286,875.247,182016
Dir: 2
Finalising parallel run
disk0,7.75928,7.80319,0.000445782,0.743612,825.316,176430,5.81435,5.90653,7.80319,825.316,176430
disk1,7.9667,7.95597,0.000442228,0.734598,867.776,181183,5.95454,6.05145,7.95597,867.776,181183
disk2,7.90198,7.97813,0.000441666,0.73329,873.933,181869,5.97487,6.10364,7.97813,873.933,181869
disk3,7.90697,7.96182,0.000442081,0.734253,869.401,181364,5.95991,6.29151,7.96182,869.401,181364
Dir: 4
Finalising parallel run
disk0,7.93727,7.91275,0.000443292,0.737148,855.764,179842,5.91488,6.1267,7.91275,855.764,179842
disk1,7.96813,7.9426,0.000442562,0.735386,864.06,180768,5.94227,6.08511,7.9426,864.06,180768
disk2,7.90563,7.96033,0.000442119,0.734341,868.986,181318,5.95854,6.09898,7.96033,868.986,181318
disk3,7.90724,7.94698,0.000442453,0.735128,865.277,180904,5.94629,6.25284,7.94698,865.277,180904
Dir: 6
Finalising parallel run
disk0,7.97542,8.00324,0.000440998,0.731592,880.876,182592,5.99877,6.09141,8.00324,880.876,182592
disk1,7.96903,7.95531,0.000442245,0.734637,867.59,181162,5.95393,6.05439,7.95531,867.59,181162
disk2,7.90951,7.96557,0.000441986,0.734031,870.443,181480,5.96335,6.05544,7.96557,870.443,181480
disk3,7.90709,7.95758,0.000442188,0.734503,868.221,181233,5.95601,6.20207,7.95758,868.221,181233
Dir: 8
Finalising parallel run
disk0,8.00171,8.0213,0.000440424,0.729316,885.698,182846,6.02014,6.0721,8.0213,885.698,182846
disk1,7.96906,7.97883,0.000441648,0.733249,874.129,181891,5.97552,6.06569,7.97883,874.129,181891
disk2,7.91236,7.97803,0.000441669,0.733296,873.904,181866,5.97478,6.0501,7.97803,873.904,181866
disk3,7.90837,7.96107,0.0004421,0.734297,869.191,181341,5.95922,6.08964,7.96107,869.191,181341
Dir: 10
Finalising parallel run
disk0,8.00714,8.0038,0.00044098,0.731521,881.027,182600,5.99944,6.03671,8.0038,881.027,182600
disk1,7.96482,7.9767,0.000441702,0.733375,873.536,181825,5.97356,6.0887,7.9767,873.536,181825
disk2,7.91652,7.98002,0.000441617,0.733179,874.458,181928,5.9766,6.07223,7.98002,874.458,181928
disk3,7.90045,7.94376,0.000442533,0.735318,864.382,180804,5.94334,6.02577,7.94376,864.382,180804
Dir: 12
Finalising parallel run
disk0,8.01177,7.97576,0.000441727,0.73343,873.274,181796,5.9727,6.0887,7.97576,873.274,181796
disk1,7.95501,7.92834,0.000442914,0.736228,860.095,180326,5.92918,6.1165,7.92834,860.095,180326
disk2,7.91977,7.96782,0.000441929,0.733899,871.067,181550,5.96541,6.17337,7.96782,871.067,181550
disk3,7.9027,7.94112,0.000442599,0.735474,863.648,180722,5.94091,6.06577,7.94112,863.648,180722
Dir: 14
Finalising parallel run
disk0,8.00511,7.88704,0.000443904,0.738664,848.62,179043,5.89129,6.03579,7.88704,848.62,179043
disk1,7.82727,7.81686,0.000445489,0.742805,829.116,176856,5.8269,5.94506,7.81686,829.116,176856
disk2,7.92518,7.97512,0.000441743,0.733468,873.097,181776,5.97211,6.08522,7.97512,873.097,181776
disk3,7.90295,7.9643,0.000442018,0.734106,870.089,181441,5.96218,6.09819,7.9643,870.089,181441
Dir: 16
Finalising parallel run
disk0,7.88998,7.72985,0.000447266,0.747939,804.932,174136,5.74705,6.00879,7.72985,804.932,174136
disk1,7.68226,7.64014,0.00044886,0.753232,780.001,171322,5.66474,5.67343,7.64014,780.001,171321
disk2,7.92794,8.02504,0.000440304,0.728845,886.697,182899,6.02457,6.1612,8.02504,886.697,182899
disk3,7.90567,7.98169,0.000441575,0.73308,874.923,181979,5.97814,6.14881,7.98169,874.923,181979
Dir: 18
Finalising parallel run
disk0,7.75214,7.54543,0.000450251,0.75882,753.682,168340,5.57784,5.62018,7.54543,753.682,168340
disk1,7.00444,7.37638,0.000451882,0.768794,706.7,162996,5.42272,5.4424,7.37638,706.7,162996
disk2,7.93376,8.04025,0.000439815,0.726929,890.758,183110,6.04257,6.16432,8.04025,890.758,183110
disk3,7.9065,7.95452,0.000442265,0.734683,867.373,181138,5.95321,6.14371,7.95452,867.373,181138
Dir: 20
Finalising parallel run
disk0,7.05117,7.20163,0.000452213,0.779104,658.137,157448,5.26237,5.31004,7.20163,658.137,157448
disk1,6.63405,7.09754,0.000451638,0.785245,629.209,154135,5.16686,5.0144,7.09754,629.209,154135
disk2,7.93656,8.00549,0.000440926,0.731308,881.478,182624,6.00144,6.10059,8.00549,881.478,182624
disk3,7.90689,7.9853,0.000441482,0.732867,875.925,182091,5.98145,6.19646,7.9853,875.925,182091
Dir: 22
Finalising parallel run
disk0,6.1993,6.79829,0.000453726,0.791,555.487,142448,4.93105,4.77848,6.79829,555.487,142448
disk1,6.24969,6.88316,0.000452584,0.791,575.099,146027,4.99261,4.88853,6.88316,575.099,146027
disk2,7.93681,8.03059,0.000440126,0.728145,888.179,182976,6.03114,6.10955,8.03059,888.179,182976
disk3,7.91001,7.95646,0.000442216,0.734569,867.912,181198,5.95499,6.1748,7.95646,867.912,181198
Dir: 24
Finalising parallel run
disk0,5.24159,6.38216,0.000453451,0.791,459.32,125543,4.62922,4.38197,6.38216,459.32,125543
disk1,5.89479,6.75736,0.000454153,0.791,546.028,140738,4.90137,4.97023,6.75736,546.028,140738
disk2,7.93951,7.99465,0.000441239,0.732315,878.525,182381,5.99003,6.02766,7.99465,878.525,182381
disk3,7.90264,7.99899,0.000441126,0.73206,879.73,182515,5.99401,6.25848,7.99899,879.73,182515
Dir: 26
Finalising parallel run
disk0,5.0683,6.22678,0.000450081,0.791,423.41,119504,4.51651,4.34056,6.22678,423.41,119504
disk1,5.95153,6.76315,0.000454098,0.791,547.366,140979,4.90556,4.91714,6.76315,547.366,140979
disk2,7.94173,8.05804,0.000439239,0.724687,895.508,183354,6.06362,6.14093,8.05804,895.508,183354
disk3,7.90766,7.96845,0.000441913,0.733861,871.244,181570,5.96599,6.12215,7.96845,871.244,181569
Dir: 28
Finalising parallel run
disk0,4.9945,6.20905,0.000449554,0.791,419.313,118825,4.50365,4.32352,6.20905,419.313,118825
disk1,6.3321,6.94323,0.000451582,0.791,588.983,148587,5.03618,5.04436,6.94323,588.983,148587
disk2,7.94902,8.02726,0.000440233,0.728565,887.29,182930,6.0272,6.02752,8.02726,887.29,182930
disk3,7.90785,7.99587,0.000441208,0.732244,878.863,182418,5.99115,6.32046,7.99587,878.863,182418
Dir: 30
Finalising parallel run
disk0,5.32656,6.37087,0.000453277,0.791,456.71,125099,4.62103,4.36107,6.37087,456.71,125099
disk1,6.68496,7.20441,0.00045222,0.77894,658.911,157537,5.26493,5.35274,7.20441,658.911,157537
disk2,7.9453,8.03448,0.000440001,0.727656,889.217,183030,6.03574,6.04217,8.03448,889.217,183030
disk3,7.9124,7.98413,0.000441512,0.732937,875.6,182055,5.98037,6.29167,7.98413,875.6,182055
Dir: 32
Finalising parallel run
disk0,5.6513,6.68931,0.000454672,0.791,530.302,137918,4.85201,4.67059,6.68931,530.302,137918
disk1,7.4434,7.49305,0.00045088,0.76191,739.124,166687,5.52977,5.72688,7.49305,739.124,166687
disk2,7.95326,8.04082,0.000439797,0.726857,890.909,183118,6.04324,6.05521,8.04082,890.909,183118
disk3,7.9129,7.98696,0.000441439,0.732769,876.388,182143,5.98298,6.23548,7.98696,876.388,182143
Dir: 34
Finalising parallel run
disk0,6.49567,7.04439,0.000451094,0.788381,614.438,152442,5.11809,4.9854,7.04439,614.438,152442
disk1,7.76511,7.72484,0.000447362,0.748235,803.541,173979,5.74246,5.87835,7.72484,803.541,173979
disk2,7.9563,8.06543,0.000438998,0.723756,897.482,183454,6.07237,6.1582,8.06543,897.482,183454
disk3,7.90623,7.99883,0.000441131,0.732069,879.686,182510,5.99387,6.05502,7.99883,879.686,182510
Dir: 36
Finalising parallel run
disk0,6.96853,7.33738,0.000452085,0.771095,695.862,161760,5.38693,5.4577,7.33738,695.862,161760
disk1,7.8618,7.88781,0.000443886,0.738619,848.833,179067,5.892,6.12796,7.88781,848.833,179067
disk2,7.96432,8.05322,0.000439396,0.725295,894.221,183288,6.05791,6.07452,8.05322,894.221,183288
disk3,7.91203,7.99021,0.000441355,0.732577,877.292,182243,5.98596,6.04762,7.99021,877.292,182243
Dir: 38
Finalising parallel run
disk0,7.80029,7.62626,0.000449084,0.754051,776.144,170885,5.652,5.80248,7.62626,776.144,170885
disk1,7.9536,7.99796,0.000441153,0.73212,879.444,182483,5.99307,6.08776,7.99796,879.444,182483
disk2,7.96124,8.02972,0.000440154,0.728256,887.946,182964,6.03011,6.02196,8.02972,887.946,182964
disk3,7.91279,7.98107,0.00044159,0.733117,874.75,181960,5.97757,5.99822,7.98107,874.75,181960
Dir: 40
Finalising parallel run
disk0,7.91133,7.81356,0.00044556,0.743,828.197,176753,5.82386,5.97007,7.81356,828.197,176753
disk1,7.96805,8.04804,0.000439563,0.725947,892.839,183217,6.05179,6.24001,8.04804,892.839,183217
disk2,7.96454,8.07033,0.000438837,0.723138,898.79,183521,6.07816,6.08498,8.07033,898.79,183521
disk3,7.91325,8.00488,0.000440946,0.731385,881.314,182615,6.00071,6.09043,8.00488,881.314,182615
Dir: 42
Finalising parallel run
disk0,7.97455,7.96057,0.000442112,0.734326,869.054,181325,5.95876,6.00832,7.96057,869.054,181325
disk1,7.97527,8.07899,0.000438553,0.722048,901.102,183637,6.08841,6.29781,8.07899,901.102,183637
disk2,7.97328,8.07048,0.000438833,0.72312,898.83,183523,6.07834,6.0764,8.07048,898.83,183523
disk3,7.91345,8.00881,0.000440821,0.73089,882.363,182671,6.00536,6.09915,8.00881,882.363,182671
Dir: 44
Finalising parallel run
disk0,8.03435,8.03959,0.000439837,0.727012,890.581,183101,6.04178,6.12881,8.03959,890.581,183101
disk1,7.97429,8.09601,0.000437991,0.719902,905.649,183864,6.10856,6.21944,8.09601,905.649,183864
disk2,7.97063,8.07543,0.00043867,0.722496,900.152,183589,6.0842,6.17259,8.07543,900.152,183589
disk3,7.91324,8.03616,0.000439947,0.727443,889.667,183053,6.03773,6.1563,8.03616,889.667,183053
Dir: 46
Finalising parallel run
disk0,8.03649,8.0826,0.000438434,0.721592,902.068,183686,6.09269,6.17253,8.0826,902.068,183686
disk1,7.97234,8.0954,0.000438011,0.71998,905.484,183856,6.10783,6.21981,8.0954,905.484,183856
disk2,7.97354,8.07678,0.000438626,0.722326,900.513,183608,6.0858,6.17795,8.07678,900.513,183608
disk3,7.91316,8.03216,0.000440076,0.727948,888.598,182998,6.03299,6.15161,8.03216,888.598,182998
Dir: 48
Finalising parallel run
disk0,8.03596,8.09762,0.000437937,0.719699,906.078,183885,6.11046,6.13304,8.09762,906.078,183885
disk1,7.96985,8.09482,0.000438031,0.720053,905.328,183848,6.10714,6.25248,8.09482,905.328,183848
disk2,7.98273,8.0833,0.000438411,0.721504,902.254,183695,6.09351,6.09182,8.0833,902.254,183695
disk3,7.91348,8.00896,0.000440817,0.730871,882.403,182673,6.00554,6.09928,8.00896,882.403,182673
Dir: 50
Finalising parallel run
disk0,8.02971,8.10429,0.000437716,0.71886,907.858,183973,6.11835,6.14265,8.10429,907.858,183973
