---code V2.c---
Turbine, Uinf(upstream), Uinf(U_dCenter), Cp(U_dCenter), Ct(U_dCenter), Power(U_dCenter), Thrust(U_dCenter) , Average Ud, Center  Ud , Uinf(disc cells), Power(disc cells), Thrust(disc cells)
Dir: 0
Finalising parallel run
disk0,7.55269,7.62165,0.000449969,0.757575,774.864,171476,5.64777,5.69649,7.62165,774.864,171476
disk1,7.99526,7.98986,0.00044147,0.732842,877.193,182293,5.98564,6.08589,7.98986,877.193,182293
disk2,7.91579,7.99541,0.000440991,0.731567,878.735,182228,5.99073,6.10324,7.99541,878.735,182228
disk3,7.91372,7.99291,0.000440178,0.728347,878.04,181313,5.98843,6.13366,7.99291,878.04,181313
Dir: 2
Finalising parallel run
disk0,7.75896,7.80147,0.00044604,0.744334,824.838,176523,5.81277,5.90495,7.80147,824.838,176523
disk1,7.96552,7.95415,0.000442457,0.735136,867.268,181232,5.95287,6.04977,7.95415,867.268,181232
disk2,7.90178,7.98229,0.000440882,0.731129,875.09,181523,5.97869,6.10737,7.98229,875.09,181523
disk3,7.90885,8.0188,0.000434365,0.706447,885.03,177002,6.01718,6.34064,8.0188,885.03,177002
Dir: 4
Finalising parallel run
disk0,7.93755,7.93436,0.000439881,0.727186,861.77,178382,5.93471,6.14464,7.93436,861.77,178382
disk1,7.96747,7.94854,0.000441347,0.732561,865.71,180343,5.94772,6.09031,7.94854,865.71,180343
disk2,7.90557,7.96626,0.000440965,0.731463,870.634,180877,5.96398,6.10421,7.96626,870.634,180877
disk3,7.9088,7.99881,0.000435722,0.711411,879.681,177359,5.99385,6.29373,7.99881,879.681,177359
Dir: 6
Finalising parallel run
disk0,7.97495,8.00097,0.000441391,0.732661,880.269,182755,5.99608,6.08873,8.00097,880.269,182755
disk1,7.9684,7.95442,0.000442353,0.734892,867.344,181185,5.95312,6.05361,7.95442,867.344,181185
disk2,7.90918,7.96334,0.000442359,0.734905,869.822,181594,5.9613,6.05341,7.96334,869.822,181594
disk3,7.90817,7.9934,0.000437484,0.717982,878.178,178755,5.98889,6.23162,7.9934,878.178,178755
Dir: 8
Finalising parallel run
disk0,8.00127,8.01171,0.000442168,0.734456,883.139,183695,6.0088,6.06048,8.01171,883.139,183695
disk1,7.96892,7.97655,0.000442083,0.734258,873.493,182037,5.97342,6.06359,7.97655,873.493,182037
disk2,7.91215,7.97342,0.000442562,0.735387,872.625,182174,5.97055,6.04581,7.97342,872.625,182174
disk3,7.90849,7.96523,0.000441263,0.73237,870.347,181054,5.96303,6.09332,7.96523,870.347,181054
Dir: 10
Finalising parallel run
disk0,8.00671,7.99317,0.000443099,0.736676,878.114,183399,5.98868,6.02552,7.99317,878.114,183399
disk1,7.9649,7.97838,0.00044135,0.732566,874.002,181701,5.9751,6.09022,7.97838,874.002,181701
disk2,7.9165,7.97871,0.00044188,0.733786,874.094,182018,5.9754,6.07103,7.97871,874.094,182018
disk3,7.90033,7.94041,0.000443172,0.736854,863.451,181029,5.94026,6.02272,7.94041,863.451,181029
Dir: 12
Finalising parallel run
disk0,8.01127,7.97785,0.000441342,0.732549,873.854,181672,5.97461,6.09049,7.97785,873.854,181672
disk1,7.95526,7.94447,0.000440265,0.728692,864.58,179207,5.94399,6.1304,7.94447,864.58,179207
disk2,7.9207,7.99452,0.000438478,0.721759,878.487,179745,5.98991,6.19593,7.99452,878.487,179745
disk3,7.90283,7.94453,0.000441941,0.733927,864.597,180497,5.94405,6.0688,7.94453,864.597,180497
Dir: 14
Finalising parallel run
disk0,8.00526,7.89366,0.000442671,0.735645,850.458,178610,5.89736,6.04176,7.89366,850.458,178610
disk1,7.82768,7.81979,0.000445047,0.741617,829.929,176706,5.82958,5.94773,7.81979,829.929,176706
disk2,7.92518,7.97653,0.000441454,0.732803,873.489,181676,5.97341,6.08649,7.97653,873.489,181676
disk3,7.90313,7.96977,0.000440997,0.731587,871.61,181067,5.9672,6.10304,7.96977,871.61,181067
Dir: 16
Finalising parallel run
disk0,7.89028,7.75246,0.000443037,0.736526,811.216,172484,5.7678,6.02788,7.75246,811.216,172484
disk1,7.68379,7.62904,0.000450442,0.759706,776.918,172293,5.65456,5.66294,7.62904,776.918,172293
disk2,7.92813,8.033,0.000439184,0.724476,888.823,182163,6.03399,6.17025,8.033,888.823,182163
disk3,7.90621,7.99877,0.000439367,0.725185,879.668,180791,5.99381,6.16355,7.99877,879.668,180791
Dir: 18
Finalising parallel run
disk0,7.75117,7.53556,0.000451082,0.763033,750.94,168832,5.56878,5.61055,7.53556,750.94,168832
disk1,7.01187,7.3701,0.000452238,0.77401,704.956,163823,5.41696,5.43774,7.3701,704.956,163823
disk2,7.93369,8.04432,0.000439218,0.724608,891.845,182710,6.04738,6.169,8.04432,891.845,182710
disk3,7.90711,7.97454,0.000439442,0.725476,872.935,179769,5.97158,6.1608,7.97454,872.935,179769
Dir: 20
Finalising parallel run
disk0,7.04848,7.19376,0.00045196,0.782624,655.949,157814,5.25515,5.30211,7.19376,655.949,157814
disk1,6.65069,7.09545,0.000453838,0.791,628.628,155173,5.16494,5.01388,7.09545,628.628,155173
disk2,7.9361,8.0038,0.000441115,0.732034,881.025,182728,5.99944,6.09861,8.0038,881.025,182728
disk3,7.90788,8.0133,0.00043772,0.718877,883.563,179870,6.01068,6.22317,8.0133,883.563,179870
Dir: 22
Finalising parallel run
disk0,6.20092,6.80039,0.000454476,0.791,555.972,142536,4.93258,4.77956,6.80039,555.972,142536
disk1,6.26762,6.8939,0.000454911,0.791,577.582,146483,5.0004,4.89782,6.8939,577.582,146483
disk2,7.9361,8.02357,0.000441044,0.731775,886.303,183567,6.02283,6.10126,8.02357,886.303,183567
disk3,7.91086,7.98511,0.000438399,0.721459,875.873,179248,5.98128,6.19876,7.98511,875.873,179248
Dir: 24
Finalising parallel run
disk0,5.24248,6.38713,0.000442105,0.791,460.468,125739,4.63282,4.38416,6.38713,460.468,125739
disk1,5.93095,6.778,0.00045417,0.791,550.798,141599,4.91634,4.9897,6.778,550.798,141599
disk2,7.93839,7.98319,0.000443324,0.737224,875.34,183077,5.97952,6.01689,7.98319,875.34,183077
disk3,7.90439,8.03828,0.000435558,0.710806,890.233,178961,6.04024,6.29944,8.03828,890.233,178961
Dir: 26
Finalising parallel run
disk0,5.06861,6.22801,0.000443086,0.791,423.695,119552,4.5174,4.34121,6.22801,423.695,119552
disk1,5.95947,6.76778,0.000454803,0.791,548.436,141172,4.90892,4.92151,6.76778,548.436,141172
disk2,7.94122,8.05093,0.000440208,0.728468,893.609,183985,6.0552,6.13252,8.05093,893.609,183985
disk3,7.90803,7.98008,0.000440211,0.728479,874.476,180764,5.97666,6.13242,7.98008,874.476,180764
Dir: 28
Finalising parallel run
disk0,4.99399,6.21444,0.000443378,0.791,420.56,119031,4.50756,4.32634,6.21444,420.56,119031
disk1,6.3755,6.96914,0.000452895,0.791,594.971,149698,5.05498,5.06853,6.96914,594.971,149698
disk2,7.94712,8.0089,0.000443635,0.737991,882.387,184450,6.00547,6.00482,8.0089,882.387,184450
disk3,7.9101,8.05087,0.000433375,0.702872,893.595,177518,6.05514,6.37443,8.05087,893.595,177518
Dir: 30
Finalising parallel run
disk0,5.32689,6.37504,0.000442612,0.791,457.673,125263,4.62405,4.36307,6.37504,457.673,125263
disk1,6.71684,7.22261,0.00045225,0.778053,663.968,158154,5.28162,5.37407,7.22261,663.968,158154
disk2,7.94339,8.01631,0.000443249,0.737042,884.367,184554,6.01424,6.01976,8.01631,884.367,184554
disk3,7.91428,8.0356,0.000434374,0.706477,889.516,177752,6.03706,6.34036,8.0356,889.516,177752
Dir: 32
Finalising parallel run
disk0,5.66217,6.69631,0.000452574,0.791,531.92,138207,4.85708,4.67603,6.69631,531.92,138207
disk1,7.45426,7.51672,0.000449126,0.75421,745.703,166047,5.55149,5.74946,7.51672,745.703,166047
disk2,7.95166,8.02291,0.000442899,0.736193,886.128,184644,6.02205,6.03313,8.02291,886.128,184644
disk3,7.91425,8.02414,0.000436351,0.71374,886.456,179068,6.0235,6.27172,8.02414,886.456,179068
Dir: 34
Finalising parallel run
disk0,6.49907,7.04117,0.000454255,0.791,613.543,152808,5.11513,4.98284,7.04117,613.543,152808
disk1,7.76469,7.72911,0.00044655,0.745794,804.729,173604,5.74638,5.88196,7.72911,804.729,173604
disk2,7.95619,8.06071,0.000439665,0.726341,896.221,183894,6.06678,6.15262,8.06071,896.221,183894
disk3,7.90599,7.99205,0.000442486,0.735205,877.803,182981,5.98765,6.04869,7.99205,877.803,182981
Dir: 36
Finalising parallel run
disk0,6.98117,7.3413,0.000452169,0.772422,696.952,162211,5.39053,5.46273,7.3413,696.952,162211
disk1,7.86246,7.91268,0.00043977,0.726752,855.744,177302,5.91482,6.14874,7.91268,855.744,177302
disk2,7.96365,8.03525,0.000442386,0.73497,889.425,184906,6.03666,6.05238,8.03525,889.425,184906
disk3,7.91182,7.98356,0.000442681,0.735669,875.442,182708,5.97986,6.04138,7.98356,875.442,182708
Dir: 38
Finalising parallel run
disk0,7.80065,7.63339,0.000448051,0.750441,778.126,170385,5.65854,5.80881,7.63339,778.126,170385
disk1,7.95366,7.99641,0.000441461,0.732821,879.012,182586,5.99164,6.08622,7.99641,879.012,182586
disk2,7.96059,8.01088,0.000443799,0.738402,882.915,184643,6.00781,5.99835,8.01088,882.915,184643
disk3,7.91234,7.9678,0.000444125,0.739223,871.063,182866,5.9654,5.98542,7.9678,871.063,182866
Dir: 40
Finalising parallel run
disk0,7.913,7.8238,0.000444279,0.739615,831.042,176409,5.83326,5.97925,7.8238,831.042,176409
disk1,7.96913,8.06912,0.000436591,0.714633,898.468,181308,6.07673,6.26327,8.06912,898.468,181308
disk2,7.96354,8.04908,0.000442217,0.734572,893.117,185442,6.05302,6.05865,8.04908,893.117,185442
disk3,7.91315,8.00241,0.000441425,0.732739,880.656,182840,5.9978,6.0875,8.00241,880.656,182840
Dir: 42
Finalising parallel run
disk0,7.97493,7.95469,0.000443696,0.738145,867.419,181999,5.95337,6.00239,7.95469,867.419,181999
disk1,7.97659,8.10514,0.000434785,0.707976,908.085,181226,6.11936,6.32619,8.10514,908.085,181226
disk2,7.9723,8.04791,0.000442495,0.735227,892.804,185553,6.05163,6.04834,8.04791,892.804,185553
disk3,7.91336,8.00646,0.000441178,0.732176,881.737,182885,6.00259,6.09638,8.00646,881.737,182885
Dir: 44
Finalising parallel run
disk0,8.03409,8.0352,0.000440449,0.729414,889.409,183505,6.03659,6.12358,8.0352,889.409,183505
disk1,7.97427,8.09746,0.000437777,0.719092,906.035,183723,6.11027,6.22113,8.09746,906.035,183723
disk2,7.97033,8.07116,0.000439257,0.724759,899.012,183970,6.07915,6.16757,8.07116,899.012,183970
disk3,7.91339,8.03967,0.000439453,0.72552,890.603,182728,6.04188,6.16039,8.03967,890.603,182728
Dir: 46
Finalising parallel run
disk0,8.0361,8.07619,0.00043933,0.725042,900.354,184271,6.08509,6.1649,8.07619,900.354,184271
disk1,7.97232,8.09708,0.000437759,0.719024,905.934,183688,6.10982,6.22178,8.09708,905.934,183688
disk2,7.97329,8.07347,0.00043908,0.724072,899.63,183901,6.08189,6.17407,8.07347,899.63,183901
disk3,7.91331,8.03569,0.00043958,0.726012,889.541,182672,6.03717,6.15573,8.03569,889.541,182672
Dir: 48
Finalising parallel run
disk0,8.03494,8.07645,0.000440888,0.731156,900.425,185837,6.08541,6.10711,8.07645,900.425,185837
disk1,7.97037,8.10498,0.00043657,0.714556,908.043,182903,6.11917,6.264,8.10498,908.043,182903
disk2,7.98172,8.05944,0.000442122,0.734349,895.882,185863,6.06528,6.06216,8.05944,895.882,185863
disk3,7.91336,8.00651,0.000441178,0.732176,881.748,182887,6.00264,6.09638,8.00651,881.748,182887
Dir: 50
Finalising parallel run
disk0,8.0283,8.08322,0.000440628,0.730124,902.231,185886,6.09341,6.11687,8.08322,902.231,185886
